frame,time_ps,protein_backbone_rmsd_A,ligand_heavy_rmsd_A,fixed_pocket_contact_count_4A,all_protein_contact_count_4A,fixed_pocket_min_distance_A,all_protein_min_distance_A,ligand_COM_to_fixed_pocket_center_A
0,10.000000029814057,3.654339559716975e-07,5.724946186243984e-07,15,15,3.1521451875462927,3.1521451875462927,6.456814289093018
1,20.000000059628114,0.830589544663994,1.015052850899138,15,15,3.4447813805169303,3.4447813805169303,6.793042182922363
2,30.00000008944217,0.8329122973428914,1.8205031502971234,11,11,3.5144655981870607,3.5144655981870607,7.378704071044922
3,40.00000011925623,0.8808137756232475,1.7001468766969292,19,19,3.2595836451157916,3.2595836451157916,6.289377212524414
4,50.00000014907029,0.9579993665886455,1.513040951196345,16,16,3.3776308175820455,3.3776308175820455,6.646712303161621
5,60.00000017888434,1.0671101862789563,1.6357929851342603,28,28,3.156088233715173,3.156088233715173,6.634448051452637
6,70.0000002086984,1.0049636125218735,1.5775816437842203,10,10,3.4626583807786644,3.4626583807786644,6.699581623077393
7,80.00000023851246,1.177492894696596,2.5657326551621233,18,18,3.460978348570551,3.460978348570551,6.4927191734313965
8,90.00000026832652,1.1781804508239608,3.4130562624225402,19,19,3.60469662895244,3.60469662895244,8.211447715759277
9,100.00000029814058,1.1650416265688144,2.9140792295793108,25,25,3.1643244511950592,3.1643244511950592,7.87927770614624
10,110.00000032795462,1.3432311775067334,2.967837202343615,29,29,3.3619868547505463,3.3619868547505463,7.395473957061768
11,120.00000035776868,1.439644135387905,3.665308853797976,20,20,3.5534996071088614,3.5534996071088614,7.930508613586426
12,130.00000038758273,1.5371915060939416,3.3710450448362104,32,32,3.2397135188957877,3.2397135188957877,7.931390285491943
13,140.0000004173968,1.6342859822784832,3.433809032561332,9,9,3.464597921574187,3.464597921574187,7.640892505645752
14,150.00000044721085,1.747664435876699,2.645831083783343,15,15,3.3293636650376803,3.3293636650376803,7.440117835998535
15,160.0000004770249,1.6708241461714664,2.5245043605104667,10,10,3.242472616514304,3.242472616514304,6.795236110687256
16,170.00000050683897,1.7872357999616235,2.259337404654769,19,19,3.155347421168658,3.155347421168658,6.168842792510986
17,180.00000053665303,1.8693339147994197,1.9664966326897368,14,14,3.358698369395579,3.358698369395579,7.123933792114258
18,190.0000005664671,1.7895088383445568,3.1113689336451658,22,23,3.170694472057009,3.170694472057009,7.893098831176758
19,200.00000059628115,1.7102143770795653,3.220563009469791,10,10,3.4835060809408223,3.4835060809408223,7.680788516998291
20,210.0000006260952,1.6895828475179764,2.8411188810858117,14,14,3.478142405007822,3.478142405007822,7.492921352386475
21,220.00000065590925,1.8550758100486635,4.052619859170015,15,15,3.299737302152279,3.299737302152279,8.754058837890625
22,230.0000006857233,1.7251840380855041,3.6883011163025445,13,13,3.083430938676046,3.083430938676046,8.696640014648438
23,240.00000071553737,1.7291526245804358,4.655198048763837,26,26,3.1793386762195235,3.1793386762195235,8.789913177490234
24,250.00000074535143,1.7083084385606928,4.822523598603399,18,18,3.20946394967301,3.20946394967301,8.642982482910156
25,260.00000077516546,1.6821259993209934,4.257609933249417,5,5,3.462903948788614,3.462903948788614,8.097029685974121
26,270.00000080497955,1.678499098573202,4.71285783057738,9,9,3.402756418752716,3.402756418752716,8.505175590515137
27,280.0000008347936,1.7378089004105324,4.460705577653839,15,15,3.2325661226066065,3.2325661226066065,8.26718807220459
28,290.00000086460767,1.70724109279589,4.6573048830784165,15,15,3.6353150632770665,3.6353150632770665,8.441051483154297
29,300.0000008944217,1.794153752190175,4.9974183729107375,30,30,3.0930128901923473,3.0930128901923473,8.368962287902832
30,310.0000009242358,1.8137063947451944,4.940471404788877,25,25,3.286136277231954,3.286136277231954,8.682103157043457
31,320.0000009540498,1.7999170088554486,4.156793638247291,14,14,3.309751401181698,3.309751401181698,8.244599342346191
32,330.00000098386386,1.9329344086708908,4.051019688562888,25,25,2.9335595841624067,2.9335595841624067,8.195782661437988
33,340.00000101367795,1.729515437927679,4.744567322247722,9,9,3.2379692894496004,3.2379692894496004,8.569743156433105
34,350.000001043492,1.9270758473227165,3.628968312846977,15,15,3.4258734595384097,3.4258734595384097,7.62258768081665
35,360.00000107330607,1.8927095265781626,4.067653022136682,6,6,3.5927000935952886,3.5927000935952886,8.847877502441406
36,370.0000011031201,1.8703418490046386,3.602211661697669,10,10,3.503580911693909,3.503580911693909,8.049592018127441
37,380.0000011329342,1.9963724051550105,3.585032201882005,3,3,3.575280505042936,3.575280505042936,8.200854301452637
38,390.0000011627482,1.918761662959376,3.5205340421928946,10,10,3.451063866486782,3.451063866486782,8.560495376586914
39,400.0000011925623,1.9133892153454808,3.8724772403333314,10,10,3.4725799013402807,3.4725799013402807,8.680397033691406
40,410.00000122237634,1.9351962314199775,4.602711506878494,4,4,3.738909615322441,3.738909615322441,9.290005683898926
41,420.0000012521904,1.9932381497658316,2.925382640989859,14,14,3.414981221169635,3.414981221169635,8.109410285949707
42,430.00000128200446,1.8388184255970952,3.714748756363941,19,19,3.4017670074574817,3.4017670074574817,8.32514476776123
43,440.0000013118185,1.9258407099656631,3.686245226704894,13,13,3.4314087495313355,3.4314087495313355,8.156620025634766
44,450.0000013416326,1.8025096864087846,4.194589126375279,12,12,3.6036432581355498,3.6036432581355498,8.49914836883545
45,460.0000013714466,1.820085672867253,3.6134598609070667,8,8,3.4886954853471313,3.4886954853471313,8.466706275939941
46,470.0000014012607,1.90614637151563,3.5987710327391627,13,13,3.507637839057219,3.507637839057219,8.190787315368652
47,480.00000143107474,1.9216204632033276,4.068401552438113,12,12,3.414357155320054,3.414357155320054,8.657539367675781
48,490.00000146088877,1.8776976897603501,3.4751114980904516,6,6,3.5133461232932626,3.5133461232932626,8.17949390411377
49,500.00000149070286,1.7958355631443619,4.057002094746209,4,4,3.3688783171138104,3.3688783171138104,8.820913314819336
50,510.0000015205169,1.857642167174621,3.8951386324134547,3,3,3.6523453860231845,3.6523453860231845,9.065059661865234
51,520.0000015503309,1.875485381877829,3.522039995724586,7,7,3.6779433285359,3.6779433285359,8.075573921203613
52,530.0000015801451,1.7460512600367848,3.5774252872908896,18,18,3.5249651132134945,3.5249651132134945,8.212067604064941
53,540.0000016099591,1.655689736215438,3.2528920130182954,17,17,3.368272176933371,3.368272176933371,7.457391262054443
54,550.0000016397731,1.6202774976761956,3.8073054449861496,8,8,3.64019992193099,3.64019992193099,8.382989883422852
55,560.0000016695872,1.6785714435457177,3.616384581264652,16,16,3.1863701260351167,3.1863701260351167,8.470518112182617
56,570.0000016994012,1.8796927310295786,4.98883346446495,16,16,3.572846930350059,3.572846930350059,9.494601249694824
57,580.0000017292153,1.9176644033365118,4.26258973066535,18,18,3.5782197863797323,3.5782197863797323,8.857749938964844
58,590.0000017590294,1.755913989656189,4.1270074768086165,20,20,3.243600577983566,3.243600577983566,8.276204109191895
59,600.0000017888434,1.763719946871869,4.264853244046802,15,15,3.2110207422560855,3.2110207422560855,8.542013168334961
60,610.0000018186574,1.7055100090631168,4.456984238265104,15,15,3.2031371419770434,3.2031371419770434,8.82734489440918
61,620.0000018484716,1.746071036479293,4.287600189843397,22,22,2.9932660318391187,2.9932660318391187,8.58281421661377
62,630.0000018782856,1.7183784045509962,3.497355788405174,9,9,3.419252856844353,3.419252856844353,7.872159957885742
63,640.0000019080996,1.8118202524000901,4.070481282711083,9,9,3.480942912681175,3.480942912681175,8.29312515258789
64,650.0000019379137,1.8074849160240276,3.7571807875463317,8,8,3.427436739559039,3.427436739559039,8.113679885864258
65,660.0000019677277,1.7471450255755938,3.1163787093866326,12,12,3.6233787596653895,3.6233787596653895,7.213146686553955
66,670.0000019975419,1.8439362765295677,2.808760920628521,10,10,3.3525967749159706,3.3525967749159706,6.890621662139893
67,680.0000020273559,1.7802401783239903,3.4638791637471624,2,2,3.6587132489197827,3.6587132489197827,7.816166877746582
68,690.0000020571699,1.875850813222872,3.2637782108965854,16,16,3.426610313726985,3.426610313726985,7.198805809020996
69,700.000002086984,1.8193153989024249,3.3904140549958965,6,6,3.2393844871121087,3.2393844871121087,8.06808090209961
70,710.0000021167981,1.8892978855308475,3.0657814511586476,1,1,3.984476427301481,3.984476427301481,8.055474281311035
71,720.0000021466121,1.8077868139222084,3.2025329048534967,4,4,3.7329309049350416,3.7329309049350416,7.970128059387207
72,730.0000021764262,1.9560477739191595,3.5941947684365267,9,9,3.4084784239814807,3.4084784239814807,7.62985897064209
73,740.0000022062402,1.9729628771192929,2.8558413139243526,20,20,3.3011848060137825,3.3011848060137825,6.802504062652588
74,750.0000022360542,1.827783344014903,2.876073137562425,13,13,3.401802853575163,3.401802853575163,7.160862922668457
75,760.0000022658684,1.8744862513005502,2.648304656862214,19,19,3.258215245346652,3.258215245346652,6.631995677947998
76,770.0000022956824,1.8714920294500856,2.933358117889525,15,15,3.3003523762147533,3.3003523762147533,6.469675064086914
77,780.0000023254964,1.843761577333215,2.5995674713261403,18,18,3.2804572551750115,3.2804572551750115,6.3162665367126465
78,790.0000023553105,1.7676280383705238,2.248783819857635,18,18,3.2616864240562475,3.2616864240562475,6.284971237182617
79,800.0000023851246,1.7137826445245823,2.950191847646718,10,10,3.608208493601712,3.608208493601712,7.398171424865723
80,810.0000024149386,1.858557314716837,3.051115951874585,14,14,3.4046893247061063,3.4046893247061063,6.73681640625
81,820.0000024447527,1.8454182650658337,2.650692757330215,8,8,3.4286539613479006,3.4286539613479006,6.99843692779541
82,830.0000024745667,1.862363606474711,3.000204061703204,12,13,3.2002507179674553,3.2002507179674553,6.7396345138549805
83,840.0000025043807,1.846344370234269,2.4125502228035485,29,31,3.213857296933542,3.213857296933542,6.048213005065918
84,850.0000025341949,1.889809674561624,2.5858712984302863,15,15,3.1471306284583154,3.1471306284583154,6.16913366317749
85,860.0000025640089,1.8937202811336304,2.3759115579524877,17,17,3.2705769268637574,3.2705769268637574,6.640133380889893
86,870.000002593823,1.9315207578795408,2.4005555100832354,31,32,3.2868323498335643,3.2868323498335643,5.760223865509033
87,880.000002623637,2.0566624751454765,2.443804415399315,16,16,3.2791299532523794,3.2791299532523794,6.164063930511475
88,890.000002653451,2.016018000743628,2.2734782831318943,11,11,3.6308196675479842,3.6308196675479842,6.5860276222229
89,900.0000026832652,1.9792750136664738,2.2264323004452247,12,12,3.236195782087826,3.236195782087826,6.939985275268555
90,910.0000027130792,2.011836626003562,3.0272482175740647,12,12,3.44107329349416,3.44107329349416,7.223536491394043
91,920.0000027428932,1.9346353572671422,3.2560926693876038,9,9,3.5158235909550575,3.5158235909550575,7.611013412475586
92,930.0000027727073,1.915985541029885,2.759937258540543,13,13,3.496603880552249,3.496603880552249,6.8734893798828125
93,940.0000028025214,1.856117666763199,2.5077250431919245,14,14,3.4431854187185267,3.4431854187185267,6.621408939361572
94,950.0000028323354,1.8270288186400567,2.461609669408788,15,15,3.5355138545283262,3.5355138545283262,6.508441925048828
95,960.0000028621495,1.723705353287469,2.811733569816915,12,12,3.5278879106551377,3.5278879106551377,6.961798667907715
96,970.0000028919635,1.940431502632786,2.54978344301384,22,22,3.5077961830297344,3.5077961830297344,5.874517440795898
97,980.0000029217775,1.8466639329913221,3.128250955678785,10,10,3.4219197382519697,3.4219197382519697,7.1648054122924805
98,990.0000029515917,1.8241938694894837,2.580225952101939,17,17,3.340967492711234,3.340967492711234,6.1128339767456055
99,1000.0000029814057,1.8419933217926423,2.6280482108786445,20,20,3.5430872735473753,3.5430872735473753,6.500649452209473
100,1010.0000030112197,1.9223681173272604,2.388029169335218,15,15,3.5555555037000692,3.5555555037000692,6.289238929748535
101,1020.0000030410338,1.895145570534835,2.1717802390359955,9,9,3.7043242205554714,3.7043242205554714,6.689309597015381
102,1030.000003070848,1.9560870189993635,2.456100955301079,18,18,3.540224511805948,3.540224511805948,6.184539794921875
103,1040.0000031006618,1.9458725381662223,2.5265501224096454,18,20,3.4608217043342475,3.4608217043342475,5.860202312469482
104,1050.000003130476,1.9800743317671443,2.2783929756600796,13,13,3.4547648707678036,3.4547648707678036,5.907826900482178
105,1060.0000031602901,2.064806196219729,2.471109768428235,15,15,3.6967694755938494,3.6967694755938494,6.342580795288086
106,1070.000003190104,1.9107249238787418,2.3842801105767126,29,31,3.4446808821558488,3.4446808821558488,5.625831604003906
107,1080.0000032199182,1.9366069396893633,2.5893678712340567,22,22,3.3680386980082653,3.3680386980082653,5.563089370727539
108,1090.0000032497321,1.788213292853878,2.2450069794323513,14,14,3.1602042745456984,3.1602042745456984,5.811471462249756
109,1100.0000032795463,1.8616229438152245,2.2140471695861885,13,13,3.492482501269994,3.492482501269994,6.000572681427002
110,1110.0000033093604,1.840664300154557,2.358581213508267,22,22,3.341709856466435,3.341709856466435,5.828959941864014
111,1120.0000033391743,1.8995927816417755,2.134482640088732,17,17,3.473892950270571,3.473892950270571,6.1918625831604
112,1130.0000033689885,1.8934061189871605,2.3407080481495037,22,22,3.268945000678654,3.268945000678654,6.431205749511719
113,1140.0000033988024,1.975892596373807,2.9333302708014815,27,27,3.3765104513976945,3.3765104513976945,5.286952495574951
114,1150.0000034286165,2.0731860941202025,2.5791518657065504,16,16,3.4716837595988226,3.4716837595988226,6.318177223205566
115,1160.0000034584307,1.9712962949231063,2.259126276815544,11,11,3.476729363243097,3.476729363243097,6.5311408042907715
116,1170.0000034882446,2.1401795384586753,2.4823819362337427,12,12,3.3715738861045788,3.3715738861045788,6.341659069061279
117,1180.0000035180587,2.0109502601952256,2.962034720641611,14,14,3.6866503700663382,3.6866503700663382,6.951069355010986
118,1190.000003547873,1.9128771147606944,2.6854819350255887,22,22,3.349579654746979,3.349579654746979,5.985514163970947
119,1200.0000035776868,1.9163831932523911,3.3955947400642343,11,11,3.6466271609358487,3.6466271609358487,7.1009016036987305
120,1210.000003607501,2.0779173337914814,2.7984287495185405,19,19,3.4445791652333444,3.4445791652333444,6.420670032501221
121,1220.0000036373149,2.1633995592902147,3.656592531895863,18,18,3.5425444496216225,3.5425444496216225,6.7810516357421875
122,1230.000003667129,2.209014248163408,2.5265793469032904,17,17,3.5940021130767885,3.5940021130767885,5.768415451049805
123,1240.0000036969432,2.240940318113831,2.483531320838938,10,10,3.465743334036353,3.465743334036353,6.077834606170654
124,1250.000003726757,2.1073416016504263,2.5398383847303294,16,16,3.3326205857230167,3.3326205857230167,5.966706275939941
125,1260.0000037565712,2.171561599511905,2.63406455903342,12,12,3.145027222193252,3.145027222193252,6.586033344268799
126,1270.0000037863852,2.3253252531690127,2.3394701424374653,5,5,3.80162113401904,3.80162113401904,6.250378608703613
