frame,time_ps,protein_backbone_rmsd_A,ligand_heavy_rmsd_A,ligand_protein_min_distance_A,ligand_protein_contact_count_4A
0,10.000000029814057,2.4189642703870366e-07,2.5092928451093466e-08,3.324676709499464,19
1,20.000000059628114,0.9203890497875947,3.8899305007341396,3.0985905213643545,17
2,30.00000008944217,0.99598923716016,3.0739768463490345,3.2565612206677432,22
3,40.00000011925623,1.108563281897231,5.118997588306311,3.342654038185527,6
4,50.00000014907029,1.130682099414496,3.8432991585438945,3.2856700008612503,12
5,60.00000017888434,1.1482388325030943,4.187159799373754,3.2649299945105605,11
6,70.0000002086984,1.2048765826807348,5.41414115301011,3.4416292262204538,13
7,80.00000023851246,1.372069087361435,7.092988480660176,3.2386157312788715,20
8,90.00000026832652,1.6324052891981349,6.77946234071948,3.1041031653518183,19
9,100.00000029814058,1.4701610348847636,7.412442653092942,3.0405066429357035,15
10,110.00000032795462,1.4971168064143274,7.38914378987708,3.181611943673631,11
11,120.00000035776868,1.518286988580846,7.5575745356633695,3.705085241793517,8
12,130.00000038758273,1.7225094786592354,7.495901812621442,3.2121703882486687,18
13,140.0000004173968,1.729794294851605,6.396465756237675,3.2557862455351203,16
14,150.00000044721085,1.759114636427683,6.193054706841125,3.2794709772170245,13
15,160.0000004770249,1.8330483351049276,6.7143790634631015,3.0183665348022934,14
16,170.00000050683897,1.6745370462507998,6.77832242247937,3.1126092547931035,22
17,180.00000053665303,1.777428689647824,7.028003900544363,3.367711792579662,16
18,190.0000005664671,1.8182671594900388,6.505009834597836,3.0088032467957886,22
19,200.00000059628115,1.9051957297387232,6.929610744099592,3.43985554346816,12
20,210.0000006260952,1.816913161228946,7.279228927110763,3.3909096571050026,9
21,220.00000065590925,1.9170306269692816,7.093483073975431,3.608480919990189,13
22,230.0000006857233,2.0009697130841744,6.0057237027722925,3.4646934416237425,16
23,240.00000071553737,1.9622198179006805,6.814099838638522,3.2548096070759986,18
24,250.00000074535143,1.9363212910967793,6.787891769373752,3.332680891937369,12
25,260.00000077516546,1.936617971129681,7.204863730155351,3.7749670722296993,5
26,270.00000080497955,1.953638781501275,7.139472977624207,2.932640747040636,16
27,280.0000008347936,1.9758079642249933,7.319528545594679,3.0442173091849907,17
28,290.00000086460767,1.8703300800976266,7.201525055149511,3.0361985210464955,8
29,300.0000008944217,1.9233758003279857,6.9085412442091645,3.293774466641054,13
30,310.0000009242358,1.9284862657012123,7.771022967196723,3.4842315648647357,8
31,320.0000009540498,2.1036647786879303,7.841589693210891,3.58346326794105,6
32,330.00000098386386,1.8956314661042952,8.559426662799048,3.2917278510911028,4
33,340.00000101367795,1.847201019540829,8.402380663033775,3.0949987926720843,10
34,350.000001043492,1.9113035032817691,9.505351102453554,3.606496712087278,4
35,360.00000107330607,1.988290631749806,8.853963834292742,3.173925988160657,10
36,370.0000011031201,2.083722238829484,8.314971931716121,2.907589744670724,5
37,380.0000011329342,1.920698934589849,8.777332233314239,3.256292380402218,6
38,390.0000011627482,2.094366506866791,8.901952752548013,3.4367381872532343,8
39,400.0000011925623,2.0396604214187217,8.973655980389399,3.5218980618885145,9
40,410.00000122237634,2.0210476546178633,8.479093452557965,3.448659659313273,10
41,420.0000012521904,2.0431487903735417,8.59042231620952,3.3940048763132857,10
42,430.00000128200446,1.9548365028774,8.506721773623854,3.0482517905079005,13
43,440.0000013118185,1.9395364065555245,7.774670491630174,3.5519488451536936,13
44,450.0000013416326,1.954225765856495,8.710462562710976,3.6497573502664937,8
45,460.0000013714466,2.002868672324683,8.410901244874129,3.5085030149037637,17
46,470.0000014012607,2.0968227621397464,9.01149970176781,3.3315161811018177,17
47,480.00000143107474,1.8179422089472117,8.054217705634608,3.4638026076827715,15
48,490.00000146088877,2.0867017862884096,68.68488816139913,3.1122099088769652,7
49,500.00000149070286,2.2197189362082654,8.622034160436591,3.8473139663177394,3
50,510.0000015205169,1.9879879747566147,68.38957903646195,4.953440786514257,0
51,520.0000015503309,2.1111804748430063,68.2781815378739,3.4081850100324234,8
52,530.0000015801451,2.051791742678052,68.93466772526068,2.7341978937442963,4
53,540.0000016099591,2.0748973060388547,69.53031297262122,2.011648151429446,9
54,550.0000016397731,2.13805123527927,69.07142455948447,2.1846323514769863,6
55,560.0000016695872,2.1662700798376595,69.24690671155345,3.178669217192113,1
56,570.0000016994012,2.354991506751357,68.9557908789585,2.9330385248066206,7
57,580.0000017292153,2.300098145341896,7.154253660725026,3.171646114045542,27
58,590.0000017590294,2.1821993858828166,68.93117106741676,4.295766651128191,0
59,600.0000017888434,2.219423048294366,7.574474245863989,3.1836697089171735,21
60,610.0000018186574,2.108488649811693,69.05755161569074,3.109361387145795,3
61,620.0000018484716,2.1414939196591645,69.6106195789522,3.7336392384012353,2
62,630.0000018782856,2.242948731908237,68.64379297501043,3.8603400664319327,1
63,640.0000019080996,2.1596520793790157,7.597739569410646,3.1067052628741747,14
64,650.0000019379137,2.2711872823847856,8.421509699934086,3.3234820014900106,12
