ligand_id,affinity_kcal_per_mol
emap2_Bn-3__4diCl_CH2CF3,-6.688
emap2_Bn-3__4diCl_CH2CH2F,-6.136
emap2_Bn-3__4diCl_CH2F,-6.334
emap2_Bn-3__4diCl_CHF2,-5.641
emap2_Bn-3__4diCl_Et,-5.435
emap2_Bn-3__4diCl_Me,-6.608
emap2_Bn-3__4diCl_cPr,-6.357
emap2_Bn-3__4diCl_iPr,-5.654
emap2_Bn-3__4diF_CH2CF3,-6.932
emap2_Bn-3__4diF_CH2CH2F,-5.535
emap2_Bn-3__4diF_CH2F,-6.058
emap2_Bn-3__4diF_CHF2,-6.533
emap2_Bn-3__4diF_Et,-6.336
emap2_Bn-3__4diF_Me,-6.517
emap2_Bn-3__4diF_cPr,-6.188
emap2_Bn-3__4diF_iPr,-6.406
emap2_Bn-3__5diF_CH2CF3,-7.028
emap2_Bn-3__5diF_CH2CH2F,-6.656
emap2_Bn-3__5diF_CH2F,-5.941
emap2_Bn-3__5diF_CHF2,-5.883
emap2_Bn-3__5diF_Et,-5.654
emap2_Bn-3__5diF_Me,-6.045
emap2_Bn-3__5diF_cPr,-6.251
emap2_Bn-3__5diF_iPr,-6.220
emap2_Bn-4Br_CH2CF3,-6.740
emap2_Bn-4Br_CH2CH2F,-5.375
emap2_Bn-4Br_CH2F,-5.307
emap2_Bn-4Br_CHF2,-5.558
emap2_Bn-4Br_Et,-5.623
emap2_Bn-4Br_Me,-5.772
emap2_Bn-4Br_cPr,-5.574
emap2_Bn-4Br_iPr,-5.592
emap2_Bn-4CF2H_CH2CF3,-6.828
emap2_Bn-4CF2H_CH2CH2F,-5.670
emap2_Bn-4CF2H_CH2F,-6.289
emap2_Bn-4CF2H_CHF2,-6.358
emap2_Bn-4CF2H_Et,-5.576
emap2_Bn-4CF2H_Me,-5.196
emap2_Bn-4CF2H_cPr,-5.900
emap2_Bn-4CF2H_iPr,-5.865
emap2_Bn-4CF3_CH2CF3,-6.147
emap2_Bn-4CF3_CH2CH2F,-5.586
emap2_Bn-4CF3_CH2F,-6.924
emap2_Bn-4CF3_CHF2,-6.127
emap2_Bn-4CF3_Et,-5.959
emap2_Bn-4CF3_Me,-6.194
emap2_Bn-4CF3_cPr,-5.305
emap2_Bn-4CF3_iPr,-6.947
emap2_Bn-4Cl_CH2CF3,-5.795
emap2_Bn-4Cl_CH2CH2F,-5.462
emap2_Bn-4Cl_CH2F,-5.479
emap2_Bn-4Cl_CHF2,-5.342
emap2_Bn-4Cl_Et,-5.646
emap2_Bn-4Cl_Me,-5.747
emap2_Bn-4Cl_cPr,-5.577
emap2_Bn-4Cl_iPr,-5.700
emap2_Bn-4F_CH2CF3,-5.761
emap2_Bn-4F_CH2CH2F,-5.573
emap2_Bn-4F_CH2F,-5.706
emap2_Bn-4F_CHF2,-5.732
emap2_Bn-4F_Et,-5.466
emap2_Bn-4F_Me,-6.520
emap2_Bn-4F_cPr,-6.338
emap2_Bn-4F_iPr,-5.632
emap2_Bn-4OCF3_CH2CF3,-6.657
emap2_Bn-4OCF3_CH2CH2F,-6.431
emap2_Bn-4OCF3_CH2F,-6.465
emap2_Bn-4OCF3_CHF2,-6.001
emap2_Bn-4OCF3_Et,-6.444
emap2_Bn-4OCF3_Me,-6.662
emap2_Bn-4OCF3_cPr,-5.883
emap2_Bn-4OCF3_iPr,-6.629
emap2_Bn-4OCHF2_CH2CF3,-6.556
emap2_Bn-4OCHF2_CH2CH2F,-6.261
emap2_Bn-4OCHF2_CH2F,-6.163
emap2_Bn-4OCHF2_CHF2,-5.082
emap2_Bn-4OCHF2_Et,-6.129
emap2_Bn-4OCHF2_Me,-6.285
emap2_Bn-4OCHF2_cPr,-5.550
emap2_Bn-4OCHF2_iPr,-5.045
emap2_Bn-4OMe_CH2CF3,-6.577
emap2_Bn-4OMe_CH2CH2F,-5.295
emap2_Bn-4OMe_CH2F,-5.387
emap2_Bn-4OMe_CHF2,-5.736
emap2_Bn-4OMe_Et,-5.393
emap2_Bn-4OMe_Me,-6.076
emap2_Bn-4OMe_cPr,-5.585
emap2_Bn-4OMe_iPr,-6.338
emap2_Bn-4SF5_CH2CF3,-7.046
emap2_Bn-4SF5_CH2CH2F,-6.565
emap2_Bn-4SF5_CH2F,-5.726
emap2_Bn-4SF5_CHF2,-6.901
emap2_Bn-4SF5_Et,-5.620
emap2_Bn-4SF5_Me,-5.719
emap2_Bn-4SF5_cPr,-5.720
emap2_Bn-4SF5_iPr,-6.693
emap2_Bn-4iPr_CH2CF3,-5.792
emap2_Bn-4iPr_CH2CH2F,-5.451
emap2_Bn-4iPr_CH2F,-4.966
emap2_Bn-4iPr_CHF2,-5.556
emap2_Bn-4iPr_Et,-5.690
emap2_Bn-4iPr_Me,-5.899
emap2_Bn-4iPr_cPr,-6.687
emap2_Bn-4iPr_iPr,-5.739
emap2_Bn_CH2CF3,-6.664
emap2_Bn_CH2CH2F,-5.268
emap2_Bn_CH2F,-5.421
emap2_Bn_CHF2,-1.471
emap2_Bn_Et,-5.465
emap2_Bn_Me,-5.220
emap2_Bn_cPr,-5.457
emap2_Bn_iPr,-5.627
