ligand_id,affinity_kcal_per_mol
emap3_Bn-3CF3_4F_CH2CF2CH2CH2F,-6.782
emap3_Bn-3CF3_4F_CH2CF2CH2CHF2,-7.047
emap3_Bn-3CF3_4F_CH2CF2CH2F,-6.821
emap3_Bn-3CF3_4F_CH2CF2H,-6.758
emap3_Bn-3CF3_4F_CH2CF3,-6.911
emap3_Bn-3CF3_4F_CH2CH2CF2CF3,-6.963
emap3_Bn-3CF3_4F_CH2CH2CF2CH2CF3,-6.948
emap3_Bn-3CF3_4F_CH2CH2CF2CH2CH2CF3,-5.113
emap3_Bn-3CF3_4F_CH2CH2CF2CH2CH2CHF2,-6.972
emap3_Bn-3CF3_4F_CH2CH2CF2CH2CH2F,-6.679
emap3_Bn-3CF3_4F_CH2CH2CF2CH2CHF2,-6.803
emap3_Bn-3CF3_4F_CH2CH2CF2CH2F,-6.802
emap3_Bn-3CF3_4F_CH2CH2CF2CH3,-6.887
emap3_Bn-3CF3_4F_CH2CH2CF2H,-6.863
emap3_Bn-3CF3_4F_CH2CH2CF3,-6.892
emap3_Bn-3CF3_4F_CH2CH2CH2CF2CF3,-6.695
emap3_Bn-3CF3_4F_CH2CH2CH2CF3,-6.953
emap3_Bn-3CF3_4F_CH2CH2CH2CHF2,-6.774
emap3_Bn-3CF3_4F_CH2CH2CH2F,-6.746
emap3_Bn-3CF3_4F_CH2CH2CHF2,-6.823
emap3_Bn-3CF3_4F_CH2CH2F,-6.724
emap3_Bn-3CF3_4F_CH2CH2SiMe3,-5.272
emap3_Bn-3CF3_4F_CH2CHF2,-6.672
emap3_Bn-3CF3_4F_CH2F,-7.049
emap3_Bn-3CF3_4F_CH2SiEt3,-6.154
emap3_Bn-3CF3_4F_CH2SiMe3,-6.505
emap3_Bn-3CF3_4F_Et,-6.688
emap3_Bn-3CF3_4F_Me,-6.715
emap3_Bn-3CF3_4F_OCH2CF2CF3,-6.583
emap3_Bn-3CF3_4F_OCH2CF2CH2CH2F,-6.724
emap3_Bn-3CF3_4F_OCH2CF2CH2F,-6.801
emap3_Bn-3CF3_4F_OCH2CF2CH3,-6.890
emap3_Bn-3CF3_4F_OCH2CF2H,-6.718
emap3_Bn-3CF3_4F_OCH2CF3,-6.918
emap3_Bn-3CF3_4F_OCH2CH2CF2CF3,-6.644
emap3_Bn-3CF3_4F_OCH2CH2CF2CH2CH2F,-6.788
emap3_Bn-3CF3_4F_OCH2CH2CF2CH2F,-6.462
emap3_Bn-3CF3_4F_OCH2CH2CF2H,-6.736
emap3_Bn-3CF3_4F_OCH2CH2CF3,-6.817
emap3_Bn-3CF3_4F_OCH2CH2CH2CF3,-7.095
emap3_Bn-3CF3_4F_OCH2CH2CH2CHF2,-6.744
emap3_Bn-3CF3_4F_OCH2CH2CH2F,-6.473
emap3_Bn-3CF3_4F_OCH2CH2CHF2,-6.729
emap3_Bn-3CF3_4F_OCH2CH2F,-6.689
emap3_Bn-3CF3_4F_OCH2CHF2,-6.647
emap3_Bn-3CF3_4F_OCH2F,-5.178
emap3_Bn-3CF3_4F_OSiMe3,-6.816
emap3_Bn-3CF3_4F_PhCH2F,-7.267
emap3_Bn-3CF3_4F_nBu,-6.619
emap3_Bn-3CF3_4F_nPr,-6.748
emap3_Bn-3CF3_4F_tBu,-6.900
emap3_Bn-3CF3_BnCH2,-6.824
emap3_Bn-3CF3_CH2CF2CF3,-5.451
emap3_Bn-3CF3_CH2CF2CH2CF3,-5.440
emap3_Bn-3CF3_CH2CF2CH2CH2F,-6.578
emap3_Bn-3CF3_CH2CF2CH2CHF2,-5.580
emap3_Bn-3CF3_CH2CF2CH2F,-6.618
emap3_Bn-3CF3_CH2CF2H,-5.054
emap3_Bn-3CF3_CH2CF3,-7.017
emap3_Bn-3CF3_CH2CH2CF2CF3,-6.756
emap3_Bn-3CF3_CH2CH2CF2CH2CF3,-5.190
emap3_Bn-3CF3_CH2CH2CF2CH2CH2CF3,-5.996
emap3_Bn-3CF3_CH2CH2CF2CH2CH2CHF2,-5.679
emap3_Bn-3CF3_CH2CH2CF2CH2CH2F,-6.465
emap3_Bn-3CF3_CH2CH2CF2CH2CHF2,-6.652
emap3_Bn-3CF3_CH2CH2CF2CH2F,-6.618
