round,ligand_id,smiles,MW,cLogP,logD7.4,logD7.4_est,TPSA,HBD,HBA,RotB,logS_ESOL_est,efflux_risk_0to2,E_dock,CNS_MPO_TE2052,Ki_note
R1,"emap_Bn-3,5diF_CH2F",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21,455.440,3.514,,2.905,73.020,0,4,7,-4.415,0,,5.400,
R1,"emap_Bn-3,5diF_CH2CH2F",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,469.467,3.556,,2.948,73.020,0,4,8,-4.463,0,,5.400,
R1,emap_Bn-4CF3_Me,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,469.467,3.865,,3.256,73.020,0,4,6,-4.789,0,-5.947,5.400,
R1,emap_Bn-4CF3_Et,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21,483.494,4.347,,3.739,73.020,0,4,7,-5.115,0,-5.725,4.800,
R1,emap_Bn-4CF3_CH2F,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21,487.457,4.255,,3.646,73.020,0,4,7,-5.081,0,-5.378,4.800,
R1,emap_Bn-4CF3_CH2CH2F,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,501.484,4.297,,3.689,73.020,0,4,8,-5.128,1,-5.978,4.200,
R1,emap_Bn-4OCF3_Me,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,485.466,3.744,,3.059,82.250,0,5,7,-4.747,0,-6.552,5.400,
R1,emap_Bn-4OCF3_Et,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21,499.493,4.227,,3.542,82.250,0,5,8,-5.072,0,-6.384,4.800,
R1,emap_Bn-4OCF3_CH2F,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21,503.456,4.134,,3.449,82.250,0,5,8,-5.038,1,-6.179,4.200,
R1,emap_Bn-4OCF3_CH2CH2F,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,517.483,4.177,,3.491,82.250,0,5,9,-5.086,1,-6.326,4.200,
R1,emap_Bn-4OMe_Me,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,431.496,2.854,,2.169,82.250,0,5,7,-3.851,0,-6.225,5.400,
R1,emap_Bn-4OMe_Et,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21,445.523,3.337,,2.652,82.250,0,5,8,-4.177,0,-5.479,5.400,
R1,emap_Bn-4OMe_CH2F,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21,449.486,3.244,,2.559,82.250,0,5,8,-4.143,0,-5.956,5.400,
R1,emap_Bn-4OMe_CH2CH2F,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,463.513,3.287,,2.601,82.250,0,5,9,-4.190,0,-5.315,5.400,
R1,emap_Bn-4OCHF2_Me,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,467.476,3.447,,2.762,82.250,0,5,8,-4.382,0,-6.544,5.400,
R1,emap_Bn-4OCHF2_Et,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21,481.503,3.930,,3.245,82.250,0,5,9,-4.707,0,-6.189,5.400,
R1,emap_Bn-4OCHF2_CH2F,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21,485.466,3.837,,3.152,82.250,0,5,9,-4.673,0,-6.071,5.400,
R1,emap_Bn-4OCHF2_CH2CH2F,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,499.493,3.880,,3.194,82.250,0,5,10,-4.721,0,-6.289,5.400,
R1,emap_Bn-4CN_Me,CCN(Cc1ccc(C#N)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,426.480,2.717,,1.911,96.810,0,5,6,-3.800,1,-5.387,4.800,
R1,emap_Bn-4CN_Et,CCN(Cc1ccc(C#N)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21,440.507,3.200,,2.394,96.810,0,5,7,-4.125,1,-5.546,4.800,
R1,emap_Bn-4CN_CH2F,CCN(Cc1ccc(C#N)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21,444.470,3.107,,2.301,96.810,0,5,7,-4.091,1,-2.474,4.800,
R1,emap_Bn-4CN_CH2CH2F,CCN(Cc1ccc(C#N)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,458.497,3.150,,2.343,96.810,0,5,8,-4.139,1,-5.370,4.800,
R2,emap2_Bn_Me,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,401.470,2.846,,2.237,73.020,0,4,6,-3.726,0,-5.220,5.400,
R2,emap2_Bn_Et,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21,415.497,3.329,,2.720,73.020,0,4,7,-4.051,0,-5.465,5.400,
