ligand_id,affinity_kcal_per_mol
emap_Bn-3,5diF_CH2CH2F,-6.511
emap_Bn-3,5diF_CH2F,-5.721
emap_Bn-3,5diF_Et,-6.347
emap_Bn-3,5diF_Me,-5.971
emap_Bn-4CF3_CH2CH2F,-5.978
emap_Bn-4CF3_CH2F,-5.378
emap_Bn-4CF3_Et,-5.725
emap_Bn-4CF3_Me,-5.947
emap_Bn-4CN_CH2CH2F,-5.370
emap_Bn-4CN_CH2F,-2.474
emap_Bn-4CN_Et,-5.546
emap_Bn-4CN_Me,-5.387
emap_Bn-4F_CH2CH2F,-5.437
emap_Bn-4F_CH2F,-6.373
emap_Bn-4F_Et,-5.337
emap_Bn-4F_Me,-5.763
emap_Bn-4OCF3_CH2CH2F,-6.326
emap_Bn-4OCF3_CH2F,-6.179
emap_Bn-4OCF3_Et,-6.384
emap_Bn-4OCF3_Me,-6.552
emap_Bn-4OCHF2_CH2CH2F,-6.289
emap_Bn-4OCHF2_CH2F,-6.071
emap_Bn-4OCHF2_Et,-6.189
emap_Bn-4OCHF2_Me,-6.544
emap_Bn-4OMe_CH2CH2F,-5.315
emap_Bn-4OMe_CH2F,-5.956
emap_Bn-4OMe_Et,-5.479
emap_Bn-4OMe_Me,-6.225
emap_Bn_CH2CH2F,-5.354
emap_Bn_CH2F,-5.548
emap_Bn_Et,-5.470
emap_Bn_Me,-5.638
