ligand_id,source_round,MW,TPSA,HBD,HBA,RB,cLogP,logD74_EST,CNS_gate,Efflux_risk,logS_EST
emap2_Bn-4SF5_CHF2,round2,563.5,73.02,0,6,8,6.36,6.36,Poor,high_logP;size_flex;tertiary_amine,-7.22
emap2_Bn-4SF5_Et,round2,541.55,73.02,0,6,8,5.99,5.99,Border,high_logP;size_flex;tertiary_amine,-6.86
emap2_Bn-4SF5_Me,round2,527.52,73.02,0,6,7,5.5,5.5,Border,high_logP;size_flex;tertiary_amine,-6.55
emap2_Bn-4SF5_cPr,round2,553.56,73.02,0,6,8,6.3,6.3,Poor,high_logP;size_flex;tertiary_amine,-7.12
emap2_Bn-4SF5_iPr,round2,555.57,73.02,0,6,8,6.55,6.55,Poor,high_logP;size_flex;tertiary_amine,-7.29
emap2_Bn-4iPr_CH2CF3,round2,511.55,73.02,0,6,8,4.99,4.99,Brain,high_logP;tertiary_amine,-6.05
emap2_Bn-4iPr_CH2CH2F,round2,475.57,73.02,0,6,9,4.4,4.4,Brain,size_flex;tertiary_amine,-5.41
emap2_Bn-4iPr_CH2F,round2,461.54,73.02,0,6,8,4.36,4.36,Brain,tertiary_amine,-5.38
emap2_Bn-4iPr_CHF2,round2,479.53,73.02,0,6,8,4.83,4.83,Brain,high_logP;tertiary_amine,-5.77
emap2_Bn-4iPr_Et,round2,457.58,73.02,0,6,8,4.45,4.45,Brain,tertiary_amine,-5.41
emap2_Bn-4iPr_Me,round2,443.55,73.02,0,6,7,3.97,3.97,Brain,tertiary_amine,-5.1
emap2_Bn-4iPr_cPr,round2,469.59,73.02,0,6,8,4.77,4.77,Brain,high_logP;tertiary_amine,-5.67
emap2_Bn-4iPr_iPr,round2,471.61,73.02,0,6,8,5.01,5.01,Border,high_logP;tertiary_amine,-5.84
emap2_Bn_CH2CF3,round2,469.47,73.02,0,6,7,3.87,3.87,Brain,tertiary_amine,-5.18
emap2_Bn_CH2CH2F,round2,433.49,73.02,0,6,8,3.28,3.28,Brain,tertiary_amine,-4.55
emap2_Bn_CH2F,round2,419.46,73.02,0,6,7,3.24,3.24,Brain,tertiary_amine,-4.52
emap2_Bn_CHF2,round2,437.45,73.02,0,6,7,3.7,3.7,Brain,tertiary_amine,-4.91
emap2_Bn_Et,round2,415.5,73.02,0,6,7,3.33,3.33,Brain,tertiary_amine,-4.55
emap2_Bn_Me,round2,401.47,73.02,0,6,6,2.85,2.85,Brain,tertiary_amine,-4.24
emap2_Bn_cPr,round2,427.51,73.02,0,6,7,3.64,3.64,Brain,tertiary_amine,-4.81
emap2_Bn_iPr,round2,429.52,73.02,0,6,7,3.89,3.89,Brain,tertiary_amine,-4.98
