round,ligand_id,smiles
R2,emap2_Bn-4F_Et,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4F_iPr,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(C(C)C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4F_cPr,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(C2CC2)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4F_CH2F,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4F_CHF2,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4F_CH2CH2F,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4F_CH2CF3,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,5diF_Me",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,5diF_Et",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,5diF_iPr",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(C(C)C)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,5diF_cPr",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(C2CC2)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,5diF_CH2F",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,5diF_CHF2",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,5diF_CH2CH2F",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,5diF_CH2CF3",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diF_Me",CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diF_Et",CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diF_iPr",CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C(C)C)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diF_cPr",CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C2CC2)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diF_CH2F",CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diF_CHF2",CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diF_CH2CH2F",CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diF_CH2CF3",CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Cl_Me,CCN(Cc1ccc(Cl)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Cl_Et,CCN(Cc1ccc(Cl)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Cl_iPr,CCN(Cc1ccc(Cl)cc1)C(=O)Cn1c(=O)n(C(C)C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Cl_cPr,CCN(Cc1ccc(Cl)cc1)C(=O)Cn1c(=O)n(C2CC2)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Cl_CH2F,CCN(Cc1ccc(Cl)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Cl_CHF2,CCN(Cc1ccc(Cl)cc1)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Cl_CH2CH2F,CCN(Cc1ccc(Cl)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Cl_CH2CF3,CCN(Cc1ccc(Cl)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diCl_Me",CCN(Cc1cc(Cl)ccc1Cl)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diCl_Et",CCN(Cc1cc(Cl)ccc1Cl)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diCl_iPr",CCN(Cc1cc(Cl)ccc1Cl)C(=O)Cn1c(=O)n(C(C)C)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diCl_cPr",CCN(Cc1cc(Cl)ccc1Cl)C(=O)Cn1c(=O)n(C2CC2)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diCl_CH2F",CCN(Cc1cc(Cl)ccc1Cl)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diCl_CHF2",CCN(Cc1cc(Cl)ccc1Cl)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diCl_CH2CH2F",CCN(Cc1cc(Cl)ccc1Cl)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
R2,"emap2_Bn-3,4diCl_CH2CF3",CCN(Cc1cc(Cl)ccc1Cl)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Br_Me,CCN(Cc1ccc(Br)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Br_Et,CCN(Cc1ccc(Br)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Br_iPr,CCN(Cc1ccc(Br)cc1)C(=O)Cn1c(=O)n(C(C)C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Br_cPr,CCN(Cc1ccc(Br)cc1)C(=O)Cn1c(=O)n(C2CC2)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Br_CH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Br_CHF2,CCN(Cc1ccc(Br)cc1)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Br_CH2CH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4Br_CH2CF3,CCN(Cc1ccc(Br)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF3_Me,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF3_Et,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF3_iPr,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(C(C)C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF3_cPr,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(C2CC2)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF3_CH2F,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF3_CHF2,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF3_CH2CH2F,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF3_CH2CF3,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCF3_Me,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCF3_Et,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCF3_iPr,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(C(C)C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCF3_cPr,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(C2CC2)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCF3_CH2F,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCF3_CHF2,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCF3_CH2CH2F,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCF3_CH2CF3,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCHF2_Me,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCHF2_Et,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCHF2_iPr,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(C(C)C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCHF2_cPr,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(C2CC2)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCHF2_CH2F,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCHF2_CHF2,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCHF2_CH2CH2F,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OCHF2_CH2CF3,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OMe_Me,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OMe_Et,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OMe_iPr,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(C(C)C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OMe_cPr,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(C2CC2)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OMe_CH2F,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OMe_CHF2,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OMe_CH2CH2F,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4OMe_CH2CF3,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4iPr_Me,CCN(Cc1ccc(C(C)C)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4iPr_Et,CCN(Cc1ccc(C(C)C)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4iPr_iPr,CCN(Cc1ccc(C(C)C)cc1)C(=O)Cn1c(=O)n(C(C)C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4iPr_cPr,CCN(Cc1ccc(C(C)C)cc1)C(=O)Cn1c(=O)n(C2CC2)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4iPr_CH2F,CCN(Cc1ccc(C(C)C)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4iPr_CHF2,CCN(Cc1ccc(C(C)C)cc1)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4iPr_CH2CH2F,CCN(Cc1ccc(C(C)C)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4iPr_CH2CF3,CCN(Cc1ccc(C(C)C)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF2H_Me,CCN(Cc1ccc(C(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF2H_Et,CCN(Cc1ccc(C(F)F)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF2H_iPr,CCN(Cc1ccc(C(F)F)cc1)C(=O)Cn1c(=O)n(C(C)C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF2H_cPr,CCN(Cc1ccc(C(F)F)cc1)C(=O)Cn1c(=O)n(C2CC2)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF2H_CH2F,CCN(Cc1ccc(C(F)F)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF2H_CHF2,CCN(Cc1ccc(C(F)F)cc1)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF2H_CH2CH2F,CCN(Cc1ccc(C(F)F)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4CF2H_CH2CF3,CCN(Cc1ccc(C(F)F)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4SF5_Me,CCN(Cc1ccc(S(F)(F)(F)(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4SF5_Et,CCN(Cc1ccc(S(F)(F)(F)(F)F)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4SF5_iPr,CCN(Cc1ccc(S(F)(F)(F)(F)F)cc1)C(=O)Cn1c(=O)n(C(C)C)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4SF5_cPr,CCN(Cc1ccc(S(F)(F)(F)(F)F)cc1)C(=O)Cn1c(=O)n(C2CC2)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4SF5_CH2F,CCN(Cc1ccc(S(F)(F)(F)(F)F)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4SF5_CHF2,CCN(Cc1ccc(S(F)(F)(F)(F)F)cc1)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21
R2,emap2_Bn-4SF5_CH2CH2F,CCN(Cc1ccc(S(F)(F)(F)(F)F)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
