tracer,z_BPND,z_VT_OVER_FP,z_VT,z_VND_inv,z_FP,z_LOGD_CLOSE,z_PKI,z_DOCK_BEN,z_K1,z_mean_all
AC-5216,0.5283763820637805,NA,NA,NA,NA,0.2901465132203028,1.6237038679923221,1.3393175223510523,NA,0.9453860714068645
DPA-713,1.6570284640038182,NA,0.8848837819387201,NA,NA,0.789843285988601,-0.6636961181460661,-0.7146041993464467,NA,0.3906910428877253
PBR28,-0.892889202601452,-1,1.339788824766372,-0.9999999999999998,0.9999999999999997,0.7576047845196792,1.1889528114082166,0.2648671419254811,NA,0.20729054500228714
PBR111,-0.23241872502172628,NA,NA,1.0000000000000002,NA,NA,-0.7126508088366823,-0.026006165482545134,NA,0.00723107516476164
PBR06,NA,1,-0.04985260743316738,NA,-1.0000000000000002,-0.9187972918642912,0.030654001467067798,-0.22190043373693139,NA,-0.1933160552612204
GE-180,NA,NA,-1.2525467617583292,NA,NA,0.8543202889264461,-0.053525167540418014,-1.7989482296838555,NA,-0.5626749675140392
PK11195,-1.0600969184444202,NA,-0.9222732375135958,NA,NA,-1.773117580790738,-1.4134385863444374,1.15727436397324,NA,-0.8023303918239902
