tracer,Ki_nM,lipophilicity,energy,VT,BPND,VND,FP,VT_OVER_FP,pKi,z_BPND,z_VT_OVER_FP,z_VT,z_VND_inv,z_LOGD_CLOSE,z_FP,z_DOCK_BEN,z_PKI,z_K1,Score_TBI
AC-5216,2.4,3.3,-6.228,NA,4.6,NA,NA,NA,8.619788758288394,0.5283763820637805,NA,NA,NA,0.2901465132203028,NA,1.3393175223510523,1.6237038679923221,NA,0.9161517301356232
DPA-713,15,2.41,-5.19,3.6,7.3,NA,NA,NA,7.823908740944319,1.6570284640038182,NA,0.8848837819387201,NA,0.789843285988601,NA,-0.7146041993464467,-0.6636961181460661,NA,0.5749886982024713
GE-180,9.2,2.95,-4.642,0.17,NA,NA,NA,NA,8.036212172654444,NA,NA,-1.2525467617583292,NA,0.8543202889264461,NA,-1.7989482296838555,-0.053525167540418014,NA,-0.9828602074073416
PBR06,8.6,4.05,-5.439,2.1,NA,NA,0.022,100.7,8.065501548756432,NA,1,-0.04985260743316738,NA,-0.9187972918642912,-1.0000000000000002,-0.22190043373693139,0.030654001467067798,NA,0.10913847652611514
PBR111,15.6,NA,-5.538,NA,2.78,1.18,NA,NA,7.806875401645538,-0.23241872502172628,NA,NA,1.0000000000000002,NA,NA,-0.026006165482545134,-0.7126508088366823,NA,-0.15050791938377558
PBR28,3.4,3.01,-5.685,4.33,1.2,1.98,0.044,96.8,8.468521082957745,-0.892889202601452,-1,1.339788824766372,-0.9999999999999998,0.7576047845196792,0.9999999999999997,0.2648671419254811,1.1889528114082166,NA,-0.17879249009925294
PK11195,27.35,4.58,-6.136,0.7,0.8,NA,NA,NA,7.56304266933055,-1.0600969184444202,NA,-0.9222732375135958,NA,-1.773117580790738,NA,1.15727436397324,-1.4134385863444374,NA,-0.5487436503768462
