ligand_id,scenario,score,rank
emap3_Bn-3CF3_4F_Me,leave_out_BP90,0.23761424831229522,8
"emap3_Bn-3,5diF_nPr",leave_out_BP90,-0.05175060476939866,9
"emap2_Bn-3,5diF_CH2CH2F",leave_out_BP90,-0.09216255290338596,10
emap2_Bn-4F_Me,leave_out_BP90,-0.21871797892751238,11
emap3_Bn_OCH2CF3,leave_out_BP90,-0.5259941150435075,12
emap3_Bn-3F_4OMe_CH2CHF2,leave_out_BP90,-0.5389363870341527,13
emap2_Bn-4OCF3_Me,leave_out_BP90,-0.5602775300733093,14
emap_Bn-4OCF3_Me,leave_out_BP90,-0.7068913230136784,15
emap2_Bn-4OMe_CH2CF3,leave_out_BP90,-0.856219477333197,16
emap_Bn-4OCHF2_Me,leave_out_BP90,-0.9967531110034972,17
"emap2_Bn-3,4diF_CHF2",leave_out_brain_AUC,1.4234798683101264,1
emap2_Bn_CH2CF3,leave_out_brain_AUC,0.7498857950621514,2
emap3_Bn-3F_CH2CH2CF3,leave_out_brain_AUC,0.4826514668282236,3
emap3_Bn-3Cl_CH2F,leave_out_brain_AUC,0.472119865976871,4
"emap3_Bn-3,4diCl_Me",leave_out_brain_AUC,0.454364191588468,5
"emap2_Bn-3,4diCl_Me",leave_out_brain_AUC,0.37825908724127566,6
emap3_Bn-3CF3_4F_Me,leave_out_brain_AUC,0.30750500236539635,7
"emap2_Bn-3,4diF_Me",leave_out_brain_AUC,0.27951498740931724,8
"emap3_Bn-3,5diF_nPr",leave_out_brain_AUC,0.013778012619179436,9
"emap2_Bn-3,5diF_CH2CH2F",leave_out_brain_AUC,-0.13806745453483543,10
emap3_Bn_OCH2CF3,leave_out_brain_AUC,-0.46257761920130763,11
emap3_Bn-3F_4OMe_CH2CHF2,leave_out_brain_AUC,-0.4757003438269338,12
emap2_Bn-4OCF3_Me,leave_out_brain_AUC,-0.5023445277671217,13
emap2_Bn-4F_Me,leave_out_brain_AUC,-0.5569798819981155,14
emap_Bn-4OCF3_Me,leave_out_brain_AUC,-0.667285044825037,15
emap2_Bn-4OMe_CH2CF3,leave_out_brain_AUC,-0.7225455406580608,16
emap_Bn-4OCHF2_Me,leave_out_brain_AUC,-1.0360578645895826,17
"emap2_Bn-3,4diF_CHF2",leave_out_CNS_MPO,1.6013799526769414,1
emap3_Bn-3F_CH2CH2CF3,leave_out_CNS_MPO,0.8322116814588829,2
"emap3_Bn-3,4diCl_Me",leave_out_CNS_MPO,0.7858334964127323,3
"emap2_Bn-3,4diCl_Me",leave_out_CNS_MPO,0.7142051629094925,4
emap2_Bn_CH2CF3,leave_out_CNS_MPO,0.7004081912276071,5
"emap2_Bn-3,4diF_Me",leave_out_CNS_MPO,0.683056340159506,6
emap3_Bn-3CF3_4F_Me,leave_out_CNS_MPO,0.6652456408934866,7
emap3_Bn-3Cl_CH2F,leave_out_CNS_MPO,0.5520242024768212,8
"emap3_Bn-3,5diF_nPr",leave_out_CNS_MPO,-0.14071256781943184,9
"emap2_Bn-3,5diF_CH2CH2F",leave_out_CNS_MPO,-0.23715124719229214,10
emap2_Bn-4F_Me,leave_out_CNS_MPO,-0.44438935097440807,11
emap3_Bn-3F_4OMe_CH2CHF2,leave_out_CNS_MPO,-0.7443651530688788,12
emap3_Bn_OCH2CF3,leave_out_CNS_MPO,-0.7445413039831834,13
emap2_Bn-4OCF3_Me,leave_out_CNS_MPO,-0.7966209382276573,14
emap_Bn-4OCF3_Me,leave_out_CNS_MPO,-0.9518590719292247,15
emap2_Bn-4OMe_CH2CF3,leave_out_CNS_MPO,-1.1466958683758746,16
emap_Bn-4OCHF2_Me,leave_out_CNS_MPO,-1.3280291666445172,17
"emap2_Bn-3,4diF_CHF2",leave_out_docking,1.619569842695087,1
emap3_Bn-3Cl_CH2F,leave_out_docking,0.7923451678947075,2
"emap2_Bn-3,4diF_Me",leave_out_docking,0.762350056822915,3
emap2_Bn_CH2CF3,leave_out_docking,0.49682615994074336,4
emap3_Bn-3F_CH2CH2CF3,leave_out_docking,0.34098446583753944,5
"emap2_Bn-3,4diCl_Me",leave_out_docking,0.32645640595598413,6
"emap3_Bn-3,4diCl_Me",leave_out_docking,0.32645640595598413,7
emap3_Bn-3CF3_4F_Me,leave_out_docking,0.3244961908236783,8
"emap3_Bn-3,5diF_nPr",leave_out_docking,0.09356844399077785,9
"emap2_Bn-3,5diF_CH2CH2F",leave_out_docking,-0.16577399803827192,10
emap2_Bn-4F_Me,leave_out_docking,-0.36149887383249246,11
emap3_Bn-3F_4OMe_CH2CHF2,leave_out_docking,-0.5063134384450463,12
emap3_Bn_OCH2CF3,leave_out_docking,-0.591348525620981,13
emap2_Bn-4OCF3_Me,leave_out_docking,-0.6880121321496772,14
emap_Bn-4OCF3_Me,leave_out_docking,-0.6880121321496772,15
emap2_Bn-4OMe_CH2CF3,leave_out_docking,-1.0087986031922451,16
emap_Bn-4OCHF2_Me,leave_out_docking,-1.0732954364890128,17
