candidate,protein_rmsd_mean_A,protein_rmsd_final2ns_mean_A,ligand_rmsd_mean_A,ligand_rmsd_final2ns_mean_A,fixed_contacts_mean,fixed_contacts_final2ns_mean,all_contacts_mean,all_contacts_final2ns_mean,fixed_min_distance_mean_A,fixed_min_distance_final2ns_mean_A,all_min_distance_mean_A,all_min_distance_final2ns_mean_A,com_to_pocket_mean_A,com_to_pocket_final2ns_mean_A,frames_fixed_contacts_ge5_pct,frames_fixed_contacts_ge10_pct,frames_all_contacts_ge5_pct,frames_all_contacts_ge10_pct,frames_fixed_min_distance_le4A_pct,frames_all_min_distance_le4A_pct
A3,2.277369416090217,2.5142827832676304,3.88634747795789,5.245020869601614,12.205,12.63,12.206,12.63,3.42156551588839,3.3082895475343217,3.42156551588839,3.3082895475343217,7.35202374124527,7.578344821929932,95.1,66.10000000000001,95.1,66.10000000000001,100.0,100.0
A7,2.455259872963881,2.8051160660859695,4.325137945488276,4.667105789096921,26.6,29.695,28.812,33.965,3.1945944932029913,3.2298362038962933,3.189964829301941,3.22693892589093,5.073873855352402,4.363417940139771,100.0,99.8,100.0,99.8,100.0,100.0
A8,1.998605612174398,2.4274555888669527,5.408498219768457,5.431384820836934,14.602,20.225,14.994,21.77,3.409928887099716,3.303987078428422,3.409432311741477,3.301504201637227,7.4984113070964815,5.165811170339584,95.1,75.5,95.1,75.6,99.8,99.8
A15,2.3021978743014153,2.5285470622475077,5.023267161565456,5.445911432423128,16.033,15.32,16.231,15.48,3.3116379927890414,3.3627290233152154,3.3113615231231317,3.3620952639782433,8.130674294948578,8.543775000572204,98.7,85.7,98.7,86.4,100.0,100.0
AC-5216,2.4108366751431984,2.7334841771423144,2.408434665545633,3.120523561809526,20.866,20.89,21.138,22.06,3.3740666444716507,3.3579351465838543,3.3724514233227283,3.3506101202335774,6.044256760597229,5.699938187599182,99.7,95.7,99.7,95.89999999999999,100.0,100.0
