candidate,metric,n_windows,block_mean,block_sd,block_cv,block_median,block_iqr,first5ns_mean,final5ns_mean,final_minus_first_change,final_vs_first_pct_change,linear_slope_per_ns,spearman_rho_time
A15,ligand_rmsd_mean_A,10,5.022012416544564,0.4385312295215355,0.0873218130797196,5.044022374149579,0.5484421261535655,4.8554865030674454,5.188538330021685,0.3330518269542395,6.859288492385564,0.09729577067071,0.6363636363636362
A15,fixed_contacts_mean,10,16.03362916291629,2.415338734253236,0.1506420480174009,16.115000000000002,2.535454545454545,15.220545454545457,16.84671287128713,1.6261674167416764,10.684028516573555,0.3171971742628808,0.3454545454545454
A15,all_min_distance_mean_A,10,3.311329481879928,0.0547621760174869,0.0165378215357769,3.3330591386728594,0.0911476594620501,3.3003315643320006,3.3223273994278566,0.021995835095856,0.6664734941656703,0.0022843904563702,0.0909090909090908
A15,com_to_pocket_mean_A,10,8.129939696846254,0.308662299434365,0.0379661240973411,8.062650556564332,0.423892948916464,8.15120557173334,8.108673821959165,-0.0425317497741755,-0.5217847764957203,0.0215694301934431,0.1272727272727272
A3,ligand_rmsd_mean_A,10,3.88376490938537,0.8961479256399093,0.2307420625471716,3.655958778301036,1.2352502241440018,3.4776875780227785,4.289842240747961,0.8121546627251828,23.35329567433223,0.2171252600483599,0.6363636363636362
A3,fixed_contacts_mean,10,12.205746174617463,2.073098624281879,0.1698461195754672,11.677821782178215,1.427954545454547,12.928363636363637,11.483128712871286,-1.4452349234923505,-11.178792337085374,-0.2408216458009435,-0.2606060606060606
A3,all_min_distance_mean_A,10,3.421643424694383,0.0688265709371764,0.0201150623821428,3.4526186084197135,0.0888833372610822,3.441261446210531,3.402025403178236,-0.0392360430322953,-1.1401645485408125,-0.0083644511229548,-0.2242424242424242
A3,com_to_pocket_mean_A,10,7.352122598837395,0.3390626660170325,0.0461176566983049,7.344971425533295,0.5013446414942795,7.2892704124932335,7.414974785181556,0.1257043726883226,1.7245124076186735,0.0234431013241469,0.2484848484848484
A7,ligand_rmsd_mean_A,10,4.323411976021416,0.684512415798822,0.1583269000491456,4.604240234420011,0.4877064635223513,3.975221637604934,4.671602314437896,0.6963806768329621,17.51803396935952,0.1648544626409591,0.5272727272727272
A7,fixed_contacts_mean,10,26.59391579157916,2.347992572209022,0.088290592126809,26.85,3.134393939393938,24.90349494949495,28.284336633663365,3.3808416841684164,13.57577195901566,0.6587750047732047,0.8389096502784891
A7,all_min_distance_mean_A,10,3.189875472637781,0.0581695661382662,0.0182356855736956,3.183707792201432,0.0501485614468264,3.1552453717992472,3.2245055734763155,0.0692602016770682,2.195081317481604,0.0141557040966029,0.5878787878787878
A7,com_to_pocket_mean_A,10,5.075306652475803,0.5539370341398099,0.1091435596053278,5.251474895477295,0.9926854854822152,5.56142808182071,4.5891852231308965,-0.9722428586898132,-17.48189213968076,-0.1758096421022636,-0.9757575757575756
A8,ligand_rmsd_mean_A,10,5.405756140320383,1.4226955573732127,0.26318160132338,5.61009436123949,1.1325888040808376,5.377982870435476,5.4335294102052885,0.0555465397698125,1.0328508124332252,0.1410361266241206,0.1393939393939393
A8,fixed_contacts_mean,10,14.596579257925791,4.477408266370457,0.3067436683111401,14.061262626262623,6.444950495049504,11.728505050505053,17.464653465346537,5.736148414841486,48.907754143777055,0.9436768404113136,0.5030303030303029
A8,all_min_distance_mean_A,10,3.4095247424018296,0.0844430503805681,0.0247668096759674,3.4197735460523213,0.1350797663985119,3.4660356072884135,3.3530138775152465,-0.113021729773167,-3.2608357956711074,-0.0189374769945854,-0.6484848484848483
A8,com_to_pocket_mean_A,10,7.501076471238937,1.823645714176239,0.2431178673045885,7.568366401171444,2.6031662118434893,8.681192062368297,6.320960880109579,-2.360231182258717,-27.18786965317788,-0.3703172540812939,-0.6363636363636362
AC-5216,ligand_rmsd_mean_A,10,2.40713410369439,0.4252764948614914,0.1766733702990585,2.376849762803411,0.2544616658008141,2.1256976344536676,2.6885705729351126,0.562872938481445,26.479445117607742,0.1295306623987232,0.9393939393939392
AC-5216,fixed_contacts_mean,10,20.868566556655665,1.5240287714992564,0.0730298732958826,20.80727722772277,1.1374999999999993,21.56422222222222,20.172910891089103,-1.3913113311331138,-6.451943023010348,-0.3070849084908491,-0.4909090909090908
AC-5216,all_min_distance_mean_A,10,3.3724602342308203,0.0278231363299381,0.0082501006379646,3.3755920648097613,0.0433260317038426,3.374818016653646,3.3701024518079947,-0.0047155648456511,-0.1397279741420534,6.98773612100252e-05,-0.006060606060606
AC-5216,com_to_pocket_mean_A,10,6.044445256283956,0.2565085198394921,0.042437065597181,6.0308694696426395,0.3000428496346332,6.033556396840799,6.055334115727113,0.0217777188863141,0.3609433218808912,-0.0043924215423577,-0.0181818181818181
