candidate,protein_rmsd_mean_A,protein_rmsd_sd_A,protein_rmsd_final2ns_mean_A
A3,2.277369416090217,0.3447810537470585,2.5142827832676304
A7,2.455259872963881,0.432897653548157,2.8051160660859695
A8,1.998605612174398,0.2782383320126163,2.4274555888669527
A15,2.3021978743014153,0.3635724293850229,2.5285470622475077
AC-5216,2.4108366751431984,0.3340846659292481,2.7334841771423144
