candidate,window_1ns,window_start_ns,window_end_ns,n_frames,protein_rmsd_mean_A,protein_rmsd_sd_A,ligand_rmsd_mean_A,ligand_rmsd_sd_A,fixed_contacts_mean,fixed_contacts_sd,all_contacts_mean,all_contacts_sd,fixed_min_distance_mean_A,all_min_distance_mean_A,com_to_pocket_mean_A,fixed_contacts_ge5_pct,fixed_contacts_ge10_pct,all_contacts_ge5_pct,all_contacts_ge10_pct,fixed_min_distance_le4A_pct,all_min_distance_le4A_pct
A3,1,0.0,1.0,99,1.6875092712586566,0.2932457065836454,2.828566635879881,0.9904217230672575,12.181818181818182,5.494642355937833,12.181818181818182,5.494642355937833,3.377622509393223,3.377622509393223,7.761650586369062,93.93939393939394,63.63636363636363,93.93939393939394,63.63636363636363,100.0,100.0
A3,2,1.0,2.0,100,1.8090976578841256,0.08827067891851745,3.287960063091162,0.3182355668442142,17.15,6.252878125190419,17.15,6.252878125190419,3.4082873206641477,3.4082873206641477,7.077793226242066,99.0,84.0,99.0,84.0,100.0,100.0
A3,3,2.0,3.0,100,2.0214915692808044,0.1118929453444617,4.02395749351091,0.573344948198382,11.33,4.40856604186152,11.33,4.40856604186152,3.485237865091083,3.485237865091083,7.436164989471435,97.0,64.0,97.0,64.0,100.0,100.0
A3,4,3.0,4.0,100,2.218095546422647,0.14397169649130706,4.049518516271669,0.502385399844709,11.18,4.870815997843533,11.18,4.870815997843533,3.4601888401903937,3.4601888401903937,7.242136726379394,92.0,59.0,92.0,59.0,100.0,100.0
A3,5,4.0,5.0,100,2.354027886529817,0.13532196920824108,3.1984351813602707,0.39718477914547023,12.8,4.968588198559898,12.8,4.968588198559898,3.4749706957138056,3.4749706957138056,6.928606534004212,96.0,74.0,96.0,74.0,100.0,100.0
A3,6,5.0,6.0,100,2.5824725389286054,0.07295151047020232,3.2697522411455315,0.3348137812731488,11.92,4.758150901348128,11.92,4.758150901348128,3.445048376649033,3.445048376649033,6.849914155006409,97.0,66.0,97.0,66.0,100.0,100.0
A3,7,6.0,7.0,100,2.5012115200827663,0.0770359864096117,3.1029855872046688,0.542764425438322,9.92,4.256142323131062,9.92,4.256142323131062,3.471776110746729,3.471776110746729,7.253777861595154,90.0,52.0,90.0,52.0,100.0,100.0
A3,8,7.0,8.0,100,2.5637457261259256,0.07095243878183546,4.585513388510227,0.6576167676150593,10.32,4.821835854744644,10.33,4.82848241420039,3.4773579397586722,3.4773579397586722,7.815872926712036,89.0,54.0,89.0,54.0,100.0,100.0
A3,9,8.0,9.0,100,2.413023710832955,0.08376592256060006,5.079824778479402,0.6537109731628774,13.82,4.883242837097148,13.82,4.883242837097148,3.316230885336206,3.316230885336206,7.492515988349915,100.0,79.0,100.0,79.0,100.0,100.0
A3,10,9.0,10.0,101,2.613756263632135,0.15796684841748587,5.411135208399976,0.3606434893598826,11.435643564356436,3.998539337268444,11.435643564356436,3.998539337268444,3.29971370340054,3.29971370340054,7.662792994244264,97.02970297029702,65.34653465346535,97.02970297029702,65.34653465346535,100.0,100.0
A7,1,0.0,1.0,99,1.604672637232333,0.3088450800292203,3.0928121089415805,0.6619927501273382,24.747474747474747,7.028140861294155,26.545454545454547,7.8379931928574775,3.091912930281877,3.0849450318307388,5.699611817947542,100.0,97.97979797979798,100.0,97.97979797979798,100.0,100.0
A7,2,1.0,2.0,100,2.1025449259652107,0.16033636988253036,3.0808443990329617,0.3072166886693181,22.71,5.337678154479537,24.12,5.784479407881234,3.129143742464414,3.1234107265735713,5.585212917327881,100.0,100.0,100.0,100.0,100.0,100.0
A7,3,2.0,3.0,100,2.562173981775209,0.2858677593613185,4.145374999759241,1.0392407863194526,24.54,5.831679419214061,27.09,6.8624214591373125,3.212578940635424,3.188709120563824,5.590281095504761,100.0,100.0,100.0,100.0,100.0,100.0
A7,4,3.0,4.0,100,2.3454745969893342,0.24699592542155996,4.93234540214815,0.41094149342438063,27.14,6.180810969640169,28.47,6.458030784702223,3.178201065051086,3.178201065051086,5.503263459205628,100.0,100.0,100.0,100.0,100.0,100.0
A7,5,4.0,5.0,100,2.176845824753978,0.11025584311993793,4.624731278142736,0.4916914687141316,25.38,6.927882472700844,26.27,7.231880876376561,3.200960914977015,3.200960914977015,5.428771119117737,100.0,100.0,100.0,100.0,100.0,100.0
A7,6,5.0,6.0,100,2.5510759670368497,0.23722414352044394,4.7297830677113435,0.45950039971586093,28.34,5.637572369577371,29.48,5.902370693033418,3.17870646383904,3.17870646383904,5.074178671836853,100.0,100.0,100.0,100.0,100.0,100.0
A7,7,6.0,7.0,100,2.745605454826277,0.12975330418059336,4.71164969410563,0.3831424975466744,27.14,6.11674304303732,29.33,6.65006265634643,3.2599307184078707,3.25592969083717,4.570326590538025,100.0,100.0,100.0,100.0,100.0,100.0
A7,8,7.0,8.0,100,2.8423370675028083,0.20049886403537986,4.5837491906972865,0.3864883520398334,26.56,6.205764670974493,28.81,6.768457741762167,3.2335798279445065,3.2335798279445065,4.5771804976463315,100.0,100.0,100.0,100.0,100.0,100.0
A7,9,8.0,9.0,100,2.732451374550414,0.12663990117096385,4.51404804387253,0.29725934772661994,28.55,6.697466730493001,31.84,7.567500955207782,3.28448348008781,3.280010188770145,4.457425661087036,100.0,100.0,100.0,100.0,100.0,100.0
A7,10,9.0,10.0,101,2.87669665879081,0.1749626785872842,4.818781575802692,0.23204609581140762,30.831683168316832,6.45301372527704,36.06930693069307,7.526297131714339,3.1756098788551324,3.1743016959907147,4.266814694546237,100.0,100.0,100.0,100.0,100.0,100.0
A8,1,0.0,1.0,99,1.7245945685661137,0.31518333929758746,3.2674548940709083,0.9166262833822073,14.252525252525253,6.613751034148681,14.303030303030303,6.6982400147345205,3.3944770254080776,3.3944770254080776,7.636895651769156,92.92929292929293,76.76767676767676,92.92929292929293,76.76767676767676,100.0,100.0
A8,2,1.0,2.0,100,1.9338274444927321,0.15710290238049446,3.2816795095394933,0.7468384158149656,14.67,4.9707325232989374,14.71,5.049842481791793,3.445070066696565,3.445070066696565,6.8109557151794435,99.0,87.0,99.0,87.0,100.0,100.0
A8,3,2.0,3.0,100,1.8442671366407142,0.1032080096699409,6.330565803715343,1.4001664078273857,11.87,5.104276282063537,11.87,5.104276282063537,3.4703577999428536,3.4703577999428536,9.098488130569457,95.0,64.0,95.0,64.0,100.0,100.0
A8,4,3.0,4.0,100,1.854859048716659,0.08381868148622673,7.986756178668103,0.8489263368307729,8.07,3.9625902150135603,8.07,3.9625902150135603,3.5460516463047598,3.5460516463047598,10.802993469238281,81.0,35.0,81.0,35.0,98.0,98.0
A8,5,4.0,5.0,100,1.8363140651089678,0.07536921261451557,6.023457966183534,0.8000319322926958,9.78,3.7297060300655156,9.78,3.7297060300655156,3.4742214980898116,3.4742214980898116,9.056627345085143,90.0,52.0,90.0,52.0,100.0,100.0
A8,6,5.0,6.0,100,1.9135794935711923,0.10629868956594156,5.054015877813198,0.9446032674115253,12.3,5.13750322568652,12.3,5.13750322568652,3.4612730896937536,3.4612730896937536,7.842367782592773,96.0,67.0,96.0,67.0,100.0,100.0
A8,7,6.0,7.0,100,1.9695975673915345,0.0926386317879587,6.040206746692637,1.332151332849394,13.87,5.054560896713567,13.87,5.054560896713567,3.3895968582605023,3.3895968582605023,7.499837150573731,98.0,81.0,98.0,81.0,100.0,100.0
A8,8,7.0,8.0,100,2.046875761755455,0.1465557492396888,5.210654380333564,0.39282101059359564,20.66,5.9733752704155565,21.38,6.5021830056054135,3.314143521889255,3.314143521889255,5.929543085098267,99.0,97.0,99.0,97.0,100.0,100.0
A8,9,8.0,9.0,100,2.45995017501671,0.18759539400174627,4.853235704041632,0.645716010797679,20.82,5.20174795796392,22.24,5.658853794066982,3.2991607620157675,3.2980095526778093,5.361324872970581,100.0,100.0,100.0,100.0,100.0,100.0
A8,10,9.0,10.0,101,2.3954819863064962,0.14497361394041136,6.009534342145416,0.7216148655157573,19.673267326732674,5.610898164984086,21.346534653465348,6.36621652720728,3.3058231415345487,3.3020463650549132,4.971731509312545,100.0,95.04950495049505,100.0,96.03960396039604,100.0,100.0
A15,1,0.0,1.0,99,1.4308757544113817,0.2298373796782861,4.118282576117468,0.8591505528520326,14.272727272727273,7.743091959826529,14.272727272727273,7.743091959826529,3.3182701507580807,3.3182701507580807,7.933646004609387,97.97979797979798,75.75757575757575,97.97979797979798,75.75757575757575,100.0,100.0
A15,2,1.0,2.0,100,1.9314121849032322,0.16939416023758372,4.777086604183892,0.7704454033744095,12.53,4.818849772644208,12.76,4.868202331394407,3.3587172143674455,3.35722003638229,8.450733976364136,98.0,72.0,98.0,74.0,100.0,100.0
A15,3,2.0,3.0,100,2.2633387063545034,0.11456719613923091,4.700009866330546,0.6071763962277965,15.23,5.686871288371582,15.53,5.776047720779952,3.3542980518314875,3.3542980518314875,7.990113639831543,100.0,87.0,100.0,87.0,100.0,100.0
A15,4,3.0,4.0,100,2.5673230327709513,0.141688332990462,5.561512696422429,0.5394375037681202,17.09,6.166208009151266,17.17,6.172691569495533,3.254981167574925,3.254981167574925,8.135187473297119,97.0,92.0,97.0,94.0,100.0,100.0
A15,5,4.0,5.0,100,2.3849158935395924,0.11788841558848652,5.120540772282893,0.9308374865897816,16.98,5.619195096751272,16.99,5.636273215305993,3.2168884151132215,3.2168884151132215,8.246346764564514,99.0,91.0,99.0,91.0,100.0,100.0
A15,6,5.0,6.0,100,2.460266800297587,0.11141824895863593,4.967503976016266,0.7342129286714736,16.26,5.478368849623513,16.38,5.486033690797538,3.254688038331024,3.254688038331024,7.96287579536438,100.0,87.0,100.0,87.0,100.0,100.0
A15,7,6.0,7.0,100,2.5011329892838092,0.07446795848541637,5.248114028790512,0.9818428782530445,15.97,6.712652007194844,16.46,6.871725115326286,3.347848126587638,3.347848126587638,7.813813056945801,96.0,84.0,96.0,86.0,100.0,100.0
A15,8,7.0,8.0,100,2.4171895659329614,0.06538114139737178,4.842168502651315,0.4590864945018018,21.29,6.526240738880093,21.72,6.601316061011905,3.283671408882625,3.283671408882625,7.694089870452881,100.0,98.0,100.0,98.0,100.0,100.0
A15,9,8.0,9.0,100,2.5357360493861267,0.11913459448276742,5.5118775456414175,0.8659097937883412,17.07,6.095626847721788,17.33,6.116800840737953,3.375284357178836,3.3751180293768543,8.404346280097961,100.0,90.0,100.0,91.0,100.0,100.0
A15,10,9.0,10.0,101,2.518907449186255,0.10083411233508033,5.373027597008914,0.5132345132118686,13.643564356435643,5.262288776598718,13.702970297029703,5.267911454182664,3.3514016819531776,3.3503113939611375,8.668244106934802,99.00990099009901,80.19801980198021,99.00990099009901,80.19801980198021,100.0,100.0
AC-5216,1,0.0,1.0,99,1.652216043152742,0.27818649257074196,1.891886078512912,0.5052174475503493,23.11111111111111,6.042179781166438,23.19191919191919,6.024908785280856,3.347046532689516,3.347046532689516,5.893821894520461,100.0,100.0,100.0,100.0,100.0,100.0
AC-5216,2,1.0,2.0,100,2.1655229305499235,0.17719855093966702,1.9023197683248692,0.3319250035859475,23.4,6.95584922089592,23.42,6.969167305302186,3.330216192172376,3.330216192172376,5.912414302825928,100.0,98.0,100.0,98.0,100.0,100.0
AC-5216,3,2.0,3.0,100,2.416638700297588,0.0732534454512503,2.1878531875888143,0.34948456273222617,21.07,6.549354197479353,21.07,6.549354197479353,3.3837617540996017,3.3837617540996017,6.001778583526612,100.0,96.0,100.0,96.0,100.0,100.0
