candidate,ligand_rmsd_mean_A,ligand_rmsd_final2ns_mean_A,fixed_contacts_mean,fixed_contacts_final2ns_mean,all_min_distance_mean_A,all_min_distance_final2ns_mean_A,com_to_pocket_mean_A,com_to_pocket_final2ns_mean_A
A3,3.88634747795789,5.245020869601614,12.205,12.63,3.42156551588839,3.3082895475343217,7.35202374124527,7.578344821929932
A7,4.325137945488276,4.667105789096921,26.6,29.695,3.189964829301941,3.22693892589093,5.073873855352402,4.363417940139771
A8,5.408498219768457,5.431384820836934,14.602,20.225,3.409432311741477,3.301504201637227,7.4984113070964815,5.165811170339584
A15,5.023267161565456,5.445911432423128,16.033,15.32,3.3113615231231317,3.3620952639782433,8.130674294948578,8.543775000572204
AC-5216,2.408434665545633,3.120523561809526,20.866,20.89,3.3724514233227283,3.3506101202335774,6.044256760597229,5.699938187599182
