candidate,n_frames,time_start_ns,time_final_ns,protein_rmsd_mean_A,protein_rmsd_sd_A,protein_rmsd_final_A,protein_rmsd_first1ns_mean_A,protein_rmsd_final2ns_mean_A,ligand_rmsd_mean_A,ligand_rmsd_sd_A,ligand_rmsd_final_A,ligand_rmsd_first1ns_mean_A,ligand_rmsd_final2ns_mean_A,fixed_contacts_mean,fixed_contacts_sd,fixed_contacts_final,fixed_contacts_first1ns_mean,fixed_contacts_final2ns_mean,all_contacts_mean,all_contacts_sd,all_contacts_final,all_contacts_first1ns_mean,all_contacts_final2ns_mean,fixed_min_distance_mean_A,fixed_min_distance_sd_A,fixed_min_distance_final_A,fixed_min_distance_first1ns_mean_A,fixed_min_distance_final2ns_mean_A,all_min_distance_mean_A,all_min_distance_sd_A,all_min_distance_final_A,all_min_distance_first1ns_mean_A,all_min_distance_final2ns_mean_A,com_to_pocket_mean_A,com_to_pocket_sd_A,com_to_pocket_final_A,com_to_pocket_first1ns_mean_A,com_to_pocket_final2ns_mean_A,frames_fixed_contacts_ge5_pct,frames_fixed_contacts_ge10_pct,frames_all_contacts_ge5_pct,frames_all_contacts_ge10_pct,zero_fixed_contact_frames,zero_all_contact_frames,frames_fixed_min_distance_le4A_pct,frames_all_min_distance_le4A_pct,frames_fixed_min_distance_gt5A_pct,frames_all_min_distance_gt5A_pct,final2ns_fixed_contacts_ge5_pct,final2ns_fixed_contacts_ge10_pct,final2ns_all_contacts_ge5_pct,final2ns_all_contacts_ge10_pct,final2ns_fixed_min_distance_le4A_pct,final2ns_all_min_distance_le4A_pct
A3,1000,0.010000000029814056,10.000000029814057,2.277369416090217,0.34478105374705853,2.9038337164388603,1.6875092712586566,2.5142827832676304,3.88634747795789,1.0211383342726332,4.911499035965117,2.828566635879881,5.245020869601614,12.205,5.266755520594601,11,12.181818181818182,12.63,12.206,5.267001547873829,11,12.181818181818182,12.63,3.42156551588839,0.1874334407508316,3.031389414604115,3.377622509393223,3.3082895475343217,3.42156551588839,0.1874334407508316,3.031389414604115,3.377622509393223,3.3082895475343217,7.35202374124527,0.5566473044573594,7.404285907745361,7.761650586369062,7.578344821929932,95.1,66.10000000000001,95.1,66.10000000000001,0,0,100.0,100.0,0.0,0.0,98.5,72.0,98.5,72.0,100.0,100.0
A7,1000,0.010000000029814056,10.000000029814057,2.455259872963881,0.432897653548157,2.615238550821974,1.604672637232333,2.8051160660859695,4.325137945488276,0.8278507723541954,4.651308929358581,3.0928121089415805,4.667105789096921,26.6,6.621921915112701,28,24.747474747474747,29.695,28.812,7.551667609454463,30,26.545454545454547,33.965,3.1945944932029913,0.17528877871552714,3.164843622123603,3.091912930281877,3.2298362038962933,3.189964829301941,0.17578115925859006,3.164843622123603,3.0849450318307388,3.22693892589093,5.073873855352402,0.6869965151875592,4.421782970428467,5.699611817947542,4.363417940139771,100.0,99.8,100.0,99.8,0,0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
A8,1000,0.010000000029814056,10.000000029814057,1.998605612174398,0.27823833201261633,2.5315731242723754,1.7245945685661137,2.4274555888669527,5.408498219768457,1.630677129031398,6.366846211620552,3.2674548940709083,5.431384820836934,14.602,6.697645441082594,8,14.252525252525253,20.225,14.994,7.199708313522139,12,14.303030303030303,21.77,3.409928887099716,0.17988750682113275,3.47923124462151,3.3944770254080776,3.303987078428422,3.409432311741477,0.18010390419686725,3.47923124462151,3.3944770254080776,3.301504201637227,7.4984113070964815,1.8879675351045544,5.764664649963379,7.636895651769156,5.165811170339584,95.1,75.5,95.1,75.6,2,2,99.8,99.8,0.0,0.0,100.0,97.5,100.0,98.0,100.0,100.0
A15,1000,0.010000000029814056,10.000000029814057,2.3021978743014153,0.3635724293850229,2.593393734505782,1.4308757544113817,2.5285470622475077,5.023267161565456,0.8517857195884452,4.933760682778236,4.118282576117468,5.445911432423128,16.033,6.454267469555981,18,14.272727272727273,15.32,16.231,6.519059528577504,18,14.272727272727273,15.48,3.3116379927890414,0.1854906128506595,3.047100010622918,3.3182701507580807,3.3627290233152154,3.3113615231231317,0.18527996369776345,3.047100010622918,3.3182701507580807,3.3620952639782433,8.130674294948578,0.5976524244116851,8.416240692138672,7.933646004609387,8.543775000572204,98.7,85.7,98.7,86.4,0,0,100.0,100.0,0.0,0.0,99.5,85.0,99.5,85.5,100.0,100.0
AC-5216,1000,0.010000000029814056,10.000000029814057,2.4108366751431984,0.3340846659292481,2.905802863604862,1.652216043152742,2.7334841771423144,2.408434665545633,0.5728513621460526,3.5093498557968017,1.891886078512912,3.120523561809526,20.866,6.821479060773886,16,23.11111111111111,20.89,21.138,6.908884764467322,16,23.19191919191919,22.06,3.3740666444716507,0.13167768494910306,3.356885179522617,3.347046532689516,3.3579351465838543,3.3724514233227283,0.13154617904690802,3.356885179522617,3.347046532689516,3.3506101202335774,6.044256760597229,0.4333541201170974,5.780886650085449,5.893821894520461,5.699938187599182,99.7,95.7,99.7,95.89999999999999,0,0,100.0,100.0,0.0,0.0,100.0,95.0,100.0,96.0,100.0,100.0
