candidate,metric,n_windows,block_mean,block_sd,block_cv,block_median,block_iqr,first5ns_mean,final5ns_mean,final_minus_first_change,final_vs_first_pct_change,linear_slope_per_ns,linear_r_squared,linear_p_exploratory,spearman_rho_time,spearman_p_exploratory
A3,ligand_rmsd_mean_A,10,3.88376490938537,0.8961479256399093,0.2307420625471716,3.655958778301036,1.2352502241440018,3.4776875780227785,4.289842240747961,0.8121546627251828,23.35329567433223,0.21712526004835994,0.5381120714051876,0.01575141964158063,0.6363636363636362,0.04791172612997546
A3,fixed_contacts_mean,10,12.205746174617463,2.073098624281879,0.1698461195754672,11.677821782178217,1.427954545454547,12.928363636363637,11.483128712871286,-1.4452349234923503,-11.178792337085374,-0.24082164580094356,0.12369796427450963,0.31895343590211994,-0.2606060606060606,0.46708905438634013
A3,all_min_distance_mean_A,10,3.421643424694383,0.06882657093717645,0.02011506238214286,3.4526186084197135,0.08888333726108222,3.441261446210531,3.4020254031782358,-0.03923604303229533,-1.1401645485408123,-0.008364451122954896,0.13538609723841782,0.2955166948976125,-0.22424242424242422,0.5334005612725946
A3,com_to_pocket_mean_A,10,7.352122598837395,0.3390626660170325,0.046117656698304935,7.344971425533295,0.5013446414942795,7.2892704124932335,7.414974785181556,0.12570437268832269,1.7245124076186737,0.023443101324146915,0.04382093334200087,0.561625133000603,0.24848484848484845,0.4887763045192432
A3,protein_rmsd_mean_A,10,2.276443169097844,0.3331384478259766,0.1463416492659466,2.383525798681386,0.47746961104887076,2.01804438627521,2.5348419519204777,0.5167975656452675,25.6088304677551,0.0991076888461083,0.8112909297931022,0.0003765089861959355,0.8909090909090909,0.0005421442248338671
A7,ligand_rmsd_mean_A,10,4.323411976021416,0.684512415798822,0.15832690004914565,4.604240234420011,0.48770646352235136,3.975221637604934,4.671602314437896,0.6963806768329621,17.51803396935952,0.16485446264095918,0.5316798428382855,0.016719311810979152,0.5272727272727272,0.11730806555020232
A7,fixed_contacts_mean,10,26.59391579157916,2.347992572209022,0.08829059212680905,26.85,3.134393939393938,24.90349494949495,28.284336633663365,3.3808416841684164,13.57577195901566,0.6587750047732047,0.7215928600568696,0.001865629182315145,0.8389096502784891,0.0024139883688156145
A7,all_min_distance_mean_A,10,3.189875472637781,0.05816956613826628,0.01823568557369562,3.183707792201432,0.050148561446826445,3.1552453717992472,3.2245055734763155,0.06926020167706826,2.195081317481604,0.014155704096602972,0.5428536240791573,0.015066924473979296,0.5878787878787878,0.07387770688865809
A7,com_to_pocket_mean_A,10,5.075306652475803,0.5539370341398099,0.10914355960532789,5.251474895477295,0.9926854854822151,5.56142808182071,4.5891852231308965,-0.9722428586898131,-17.48189213968076,-0.1758096421022636,0.9233705434584605,9.732111802718655e-06,-0.9757575757575757,1.4675461874042197e-06
A7,protein_rmsd_mean_A,10,2.453987848942323,0.4009214723638284,0.1633754920736983,2.5566249744060294,0.523313916944494,2.158342393343213,2.749633304541432,0.591290911198219,27.39560289516093,0.11413939077911765,0.7429573888759354,0.001340617382370008,0.8787878787878788,0.0008138621117322102
A8,ligand_rmsd_mean_A,10,5.405756140320383,1.4226955573732127,0.26318160132338003,5.61009436123949,1.1325888040808376,5.377982870435476,5.4335294102052885,0.0555465397698125,1.0328508124332252,0.14103612662412068,0.09008411838433199,0.3994604483908994,0.13939393939393938,0.7009318849100583
A8,fixed_contacts_mean,10,14.596579257925793,4.477408266370457,0.3067436683111401,14.061262626262625,6.444950495049504,11.728505050505051,17.464653465346537,5.736148414841486,48.907754143777055,0.9436768404113137,0.40719706516056203,0.04710682919535572,0.5030303030303029,0.13833369839449194
A8,all_min_distance_mean_A,10,3.4095247424018296,0.08444305038056812,0.02476680967596747,3.4197735460523213,0.13507976639851194,3.4660356072884135,3.3530138775152465,-0.11302172977316705,-3.2608357956711074,-0.018937476994585423,0.46102858039623923,0.030844862845065272,-0.6484848484848483,0.0425401276844895
A8,com_to_pocket_mean_A,10,7.501076471238937,1.823645714176239,0.2431178673045885,7.568366401171444,2.6031662118434893,8.681192062368297,6.320960880109579,-2.360231182258717,-27.18786965317788,-0.3703172540812939,0.377988331524949,0.058546672015014546,-0.6363636363636362,0.04791172612997546
A8,protein_rmsd_mean_A,10,1.9979347247566577,0.24286400510228806,0.12155752742716264,1.9237034690319623,0.1806410985047746,1.8387724527050373,2.157096996808278,0.3183245441032405,17.311796445228985,0.06760830292964752,0.7103709660773867,0.0021981184277695626,0.8303030303030302,0.0029402270232795095
A15,ligand_rmsd_mean_A,10,5.022012416544564,0.43853122952153556,0.08732181307971963,5.044022374149579,0.5484421261535655,4.8554865030674454,5.188538330021685,0.3330518269542395,6.859288492385564,0.09729577067071006,0.4512303582047161,0.033397977832542454,0.6363636363636362,0.04791172612997546
A15,fixed_contacts_mean,10,16.03362916291629,2.415338734253236,0.15064204801740094,16.115000000000002,2.535454545454545,15.220545454545455,16.84671287128713,1.6261674167416764,10.684028516573555,0.31719717426288085,0.15809348257195655,0.2551816822519899,0.34545454545454546,0.3282265114713673
A15,all_min_distance_mean_A,10,3.311329481879928,0.054762176017486904,0.01653782153577692,3.3330591386728594,0.09114765946205017,3.3003315643320006,3.3223273994278566,0.02199583509585601,0.6664734941656703,0.0022843904563702513,0.015951103011040114,0.7280887260700373,0.09090909090909088,0.8027717312071619
A15,com_to_pocket_mean_A,10,8.129939696846254,0.308662299434365,0.03796612409734116,8.062650556564332,0.423892948916464,8.15120557173334,8.108673821959165,-0.04253174977417551,-0.5217847764957203,0.021569430193443106,0.04476324987511,0.5573501468796613,0.12727272727272726,0.7260570147627894
A15,protein_rmsd_mean_A,10,2.30110984260664,0.35817488819286797,0.15565310336821486,2.4387281831152743,0.22073083105986768,2.115573114395932,2.486646570817348,0.37107345642141576,17.540091330162785,0.08890052956692716,0.5647157066913533,0.012209601927028737,0.6969696969696969,0.025096675882251854
AC-5216,ligand_rmsd_mean_A,10,2.40713410369439,0.42527649486149144,0.17667337029905858,2.376849762803411,0.2544616658008141,2.1256976344536676,2.6885705729351126,0.562872938481445,26.479445117607746,0.1295306623987232,0.8503815955629,0.00014608449914337392,0.9393939393939393,5.48405299851367e-05
AC-5216,fixed_contacts_mean,10,20.868566556655665,1.5240287714992564,0.0730298732958826,20.80727722772277,1.1374999999999993,21.56422222222222,20.172910891089106,-1.3913113311331138,-6.451943023010348,-0.30708490849084913,0.37217059335721164,0.06108241657200712,-0.49090909090909085,0.14965567342083683
AC-5216,all_min_distance_mean_A,10,3.3724602342308203,0.02782313632993812,0.008250100637964655,3.3755920648097613,0.04332603170384264,3.374818016653646,3.3701024518079947,-0.004715564845651166,-0.1397279741420534,6.98773612100252e-05,5.7819224739332806e-05,0.9833674405904822,-0.006060606060606061,0.9867429111949892
AC-5216,com_to_pocket_mean_A,10,6.044445256283956,0.25650851983949213,0.04243706559718106,6.0308694696426395,0.30004284963463324,6.033556396840799,6.055334115727113,0.02177771888631419,0.36094332188089123,-0.004392421542357757,0.0026879171331740505,0.8868931345924788,-0.01818181818181818,0.9602404181286242
AC-5216,protein_rmsd_mean_A,10,2.4096924037033456,0.31247252502370615,0.12967320000821742,2.4669744030189094,0.0933555366866643,2.235505401576217,2.583879405830474,0.34837400425425713,15.583679825091208,0.08557601485928494,0.6875303620152452,0.003014867928359436,0.8909090909090909,0.0005421442248338671
