"t_min","Cp","Ct_extrav","Ct_keep"
0,0,0,FALSE
0.10000002,0.008128219,7.65681660817e-05,TRUE
0.19999998,0.01300276,0.000524010325093,TRUE
0.3,0.0125486,0.00120394493509,TRUE
0.40000002,0.01029412,0.00181828182666,TRUE
0.50000004,0.008070015,0.002226715565,TRUE
0.6,0.006380332,0.0024272479707,TRUE
0.7000002,0.005200117,0.0024726557681,TRUE
0.7999998,0.004384537,0.0024196923298,TRUE
0.9,0.003806556,0.0023115604874,TRUE
1.0000002,0.003381124,0.0021766390943,TRUE
1.0999998,0.003055737,0.0020322666502,TRUE
1.2,0.002798399,0.0018885420373,TRUE
1.3000002,0.00258949,0.0017509633624,TRUE
1.3999998,0.002416532,0.0016222818525,TRUE
1.5,0.002270843,0.0015037847843,TRUE
1.6000002,0.002146418,0.001395795456,TRUE
1.6999998,0.002039027,0.0012980711674,TRUE
1.8,0.00194558,0.0012100592067,TRUE
1.9000002,0.001863724,0.0011310638435,TRUE
2.0000004,0.001791648,0.0010603303267,TRUE
2.1,0.001727917,0.000997098083,TRUE
2.2000002,0.001671378,0.0009406297177,TRUE
2.2999998,0.00162109,0.000890232315,TRUE
2.4,0.001576255,0.000845268541,TRUE
2.5000002,0.00153619,0.000805159344,TRUE
2.5999998,0.001500302,0.000769380255,TRUE
2.7,0.001468091,0.000737454691,TRUE
2.8000002,0.001439122,0.000708955159,TRUE
2.9000004,0.001413015,0.00068349905,TRUE
3,0.001389435,0.000660746347,TRUE
3.1000002,0.001368086,0.000640391525,TRUE
3.1999998,0.001348709,0.000622165946,TRUE
3.3,0.001331067,0.000605826971,TRUE
3.4000002,0.001314961,0.000591162049,TRUE
3.4999998,0.001300204,0.000577979726,TRUE
3.6,0.00128664,0.000566111843,TRUE
3.7000002,0.001274127,0.000555407335,TRUE
3.7999998,0.001262541,0.000545733633,TRUE
3.9000006,0.001251773,0.000536971566,TRUE
4.0000002,0.001241725,0.000529016858,TRUE
4.1000004,0.001232311,0.000521775832,TRUE
4.2,0.001223456,0.000515166405,TRUE
