"t_min","Cp","Ct_extrav","Ct_keep"
0,0,0,FALSE
0.10000002,0.007282225,9.04941599979e-05,TRUE
0.19999998,0.01130061,0.0005900099923,TRUE
0.3,0.01068047,0.00129672024429,TRUE
0.40000002,0.008624204,0.0018753262344,TRUE
0.50000004,0.006670858,0.0021979068439,TRUE
0.6,0.005209337,0.0022907527597,TRUE
0.7000002,0.004196129,0.0022300780628,TRUE
0.7999998,0.003499407,0.0020861379482,TRUE
0.9,0.003008866,0.0019074560722,TRUE
1.0000002,0.002651558,0.0017228266538,TRUE
1.0999998,0.002382357,0.0015474697983,TRUE
1.2,0.002173294,0.0013884140474,TRUE
1.3000002,0.002006797,0.0012478991311,TRUE
1.3999998,0.001871302,0.0011256868192,TRUE
1.5,0.001758694,0.0010204648379,TRUE
1.6000002,0.001663342,0.0009303859472,TRUE
1.6999998,0.0015813,0.0008534432286,TRUE
1.8,0.001509709,0.000787721683,TRUE
1.9000002,0.001446479,0.000731485234,TRUE
2.0000004,0.001390064,0.000683211141,TRUE
2.1,0.001339307,0.000641594304,TRUE
2.2000002,0.001293339,0.000605535972,TRUE
2.2999998,0.001251483,0.000574122454,TRUE
2.4,0.001213191,0.000546597926,TRUE
2.5000002,0.00117802,0.000522337933,TRUE
2.5999998,0.001145614,0.000500828101,TRUE
2.7,0.001115685,0.000481647833,TRUE
2.8000002,0.001087985,0.000464452518,TRUE
2.9000004,0.001062305,0.00044896143,TRUE
3,0.001038457,0.000434938134,TRUE
3.1000002,0.001016278,0.000422189889,TRUE
3.1999998,0.0009956234,0.000410555841,TRUE
3.3,0.0009763638,0.000399898736,TRUE
3.4000002,0.0009583861,0.00039010731,TRUE
3.4999998,0.0009415873,0.000381085498,TRUE
3.6,0.0009258749,0.000372752228,TRUE
3.7000002,0.0009111639,0.000365038228,TRUE
3.7999998,0.000897376,0.000357882122,TRUE
3.9000006,0.0008844397,0.000351231131,TRUE
4.0000002,0.0008722898,0.000345038876,TRUE
