Time [h],PeripheralVenousBlood-Analog7-Plasma (Peripheral Venous Blood) [µmol/l],ArterialBlood-Plasma-Analog7-Concentration in container [µmol/l],Brain-Analog7-Tissue [µmol/l],Liver-Analog7-Tissue (Liver) [µmol/l],Brain-Intracellular-Analog7-Concentration in container [µmol/l],Brain-Interstitial-Analog7-Concentration in container [µmol/l],Brain-BloodCells-Analog7-Concentration in container [µmol/l],Brain-Plasma-Analog7-Concentration in container [µmol/l],PeripheralVenousBlood-Analog7-Whole Blood (Peripheral Venous Blood) [µmol/l],ArterialBlood-Analog7-Whole Blood [µmol/l]
0,0,0,0,0,0,0,0,0,0,0
0.001666667,0.0001000211,0.007282225,0.0000003775393,0.00002443863,0.0000000008799979,0.00009049328,0.0005665046,0.002879276,0.00008849543,0.004534953
0.003333333,0.0004021807,0.01130061,0.000002469197,0.0001177919,0.0000000134923,0.0005899965,0.002494721,0.007975758,0.0004096988,0.007639206
0.005,0.000749494,0.01068047,0.000005449189,0.0002405051,0.00000005224429,0.001296668,0.003755315,0.01002228,0.0007688427,0.007525025
0.006666667,0.001047831,0.008624204,0.000007922979,0.0003595157,0.0000001182344,0.001875208,0.003845192,0.009443531,0.001030933,0.006214431
0.008333334,0.001273943,0.006670858,0.000009349571,0.0004643581,0.0000002028439,0.002197704,0.003343325,0.007870035,0.001186653,0.004872092
0.01,0.001435272,0.005209337,0.000009828168,0.000555338,0.0000002957597,0.002290457,0.002732417,0.006286658,0.001268888,0.003835652
0.01166667,0.001546686,0.004196129,0.000009668148,0.0006356382,0.0000003890628,0.002229689,0.002210471,0.005027357,0.001308454,0.00310251
0.01333333,0.001621684,0.003499407,0.000009157166,0.000708273,0.0000004779482,0.00208566,0.001814572,0.00410924,0.001324865,0.002590858
0.015,0.001670446,0.003008866,0.000008494874,0.0007753999,0.0000005600722,0.001906896,0.001525176,0.003454339,0.001328702,0.00222691
0.01666667,0.001700206,0.002651558,0.000007800346,0.0008384212,0.0000006346538,0.001722192,0.001313721,0.002982374,0.001325367,0.001960266
0.01833333,0.001716078,0.002382357,0.00000713704,0.0008982258,0.0000007017983,0.001546768,0.001156698,0.002633796,0.001317614,0.001758937
0.02,0.001721705,0.002173294,0.000006534743,0.0009553776,0.0000007620474,0.001387652,0.001037456,0.002368892,0.001306916,0.001602646
0.02166667,0.00171969,0.002006797,0.000006003505,0.001010231,0.0000008161311,0.001247083,0.0009448311,0.002162227,0.001294103,0.001478404
0.02333333,0.001711925,0.001871302,0.000005543101,0.001063013,0.0000008648192,0.001124822,0.0008713365,0.001997265,0.001279698,0.001377542
0.025,0.00169982,0.001758694,0.000005148785,0.001113871,0.0000009088379,0.001019556,0.0008117654,0.001862649,0.001264076,0.001293949
0.02666667,0.001684426,0.001663342,0.000004813522,0.001162901,0.0000009488472,0.0009294371,0.000762489,0.001750559,0.001247515,0.001223358
0.02833333,0.001666529,0.0015813,0.000004529539,0.001210165,0.0000009854286,0.0008524578,0.0007209767,0.00165558,0.001230227,0.001162769
0.03,0.001646731,0.001509709,0.000004289357,0.001255705,0.000001019083,0.0007867026,0.0006854214,0.001573836,0.001212387,0.001110008
0.03166667,0.0016255,0.001446479,0.000004086175,0.001299551,0.000001050234,0.000730435,0.000654517,0.001502513,0.001194141,0.001063489
0.03333334,0.001603198,0.001390064,0.000003914007,0.001341728,0.000001079241,0.0006821319,0.0006273093,0.001439545,0.001175613,0.00102204
0.035,0.001580115,0.001339307,0.000003767721,0.001382258,0.000001106404,0.0006404879,0.000603096,0.001383399,0.001156907,0.0009847855
0.03666667,0.00155648,0.001293339,0.00000364299,0.001421161,0.000001131972,0.000604404,0.0005813612,0.001332938,0.001138116,0.0009510709
0.03833333,0.00153248,0.001251483,0.000003536217,0.001458459,0.000001156154,0.0005729663,0.0005617107,0.001287286,0.001119315,0.0009203873
0.04,0.001508268,0.001213191,0.000003444431,0.001494178,0.000001179126,0.0005454188,0.0005438323,0.001245744,0.001100573,0.0008923245
0.04166667,0.001483975,0.00117802,0.000003365179,0.001528342,0.000001201033,0.0005211369,0.000527479,0.001207755,0.001081948,0.0008665519
0.04333333,0.001459704,0.001145614,0.000003296441,0.001560981,0.000001222001,0.0004996061,0.000512459,0.001172881,0.001063489,0.0008428062
0.045,0.001435544,0.001115685,0.000003236571,0.001592125,0.000001242133,0.0004804057,0.000498619,0.001140769,0.001045237,0.0008208721
0.04666667,0.001411566,0.001087985,0.000003184221,0.001621805,0.000001261518,0.000463191,0.0004858326,0.001111127,0.001027229,0.0008005686
0.04833334,0.001387833,0.001062305,0.000003138298,0.001650054,0.00000128023,0.0004476812,0.0004739935,0.001083705,0.001009495,0.0007817404
0.05,0.001364394,0.001038457,0.000003097883,0.001676909,0.000001298334,0.0004336398,0.0004630087,0.001058288,0.0009920591,0.0007642506
0.05166667,0.001341295,0.001016278,0.000003062229,0.001702405,0.000001315889,0.000420874,0.0004527984,0.001034688,0.0009749429,0.0007479796
0.05333333,0.001318569,0.0009956234,0.000003030714,0.00172658,0.000001332941,0.0004092229,0.000443293,0.00101274,0.0009581631,0.0007328218
0.055,0.001296247,0.0009763638,0.000003002812,0.00174947,0.000001349536,0.0003985492,0.0004344299,0.0009922982,0.0009417333,0.000718682
0.05666667,0.001274352,0.0009583861,0.000002978097,0.001771115,0.00000136571,0.0003887416,0.0004261568,0.0009732383,0.000925664,0.000705478
0.05833333,0.001252904,0.0009415873,0.000002956201,0.001791553,0.000001381498,0.000379704,0.0004184254,0.0009554463,0.0009099632,0.000693135
0.06,0.001231915,0.0009258749,0.000002936817,0.001810821,0.000001396928,0.0003713553,0.0004111931,0.0009388207,0.0008946362,0.0006815856
0.06166667,0.001211399,0.0009111639,0.000002919683,0.001828959,0.000001412028,0.0003636262,0.0004044207,0.0009232691,0.0008796866,0.0006707678
0.06333333,0.001191362,0.000897376,0.000002904568,0.001846004,0.000001426822,0.0003564553,0.0003980721,0.000908706,0.0008651162,0.0006606247
0.06500001,0.00117181,0.0008844397,0.000002891273,0.001861994,0.000001441331,0.0003497898,0.0003921142,0.0008950538,0.000850925,0.0006511041
0.06666667,0.001152747,0.0008722898,0.000002879625,0.001876966,0.000001455576,0.0003435833,0.0003865173,0.000882242,0.0008371118,0.0006421586
0.06833334,0.001134172,0.0008608662,0.000002869469,0.001890958,0.000001469574,0.0003377943,0.0003812539,0.0008702059,0.0008236744,0.0006337445
0.07,0.001116086,0.0008501144,0.000002860672,0.001904004,0.000001483343,0.0003323866,0.0003762991,0.000858887,0.0008106091,0.0006258221
0.07166667,0.001098484,0.000839984,0.000002853115,0.00191614,0.000001496896,0.0003273283,0.00037163,0.000848231,0.0007979117,0.0006183547
0.07333334,0.001081364,0.0008304291,0.00000284669,0.0019274,0.000001510248,0.0003225903,0.0003672256,0.0008381886,0.0007855771,0.0006113088
0.075,0.00106472,0.000821407,0.000002841301,0.001937819,0.000001523412,0.0003181464,0.0003630666,0.0008287146,0.0007735995,0.0006046534
0.07666667,0.001048546,0.0008128783,0.000002836866,0.001947429,0.000001536398,0.0003139739,0.000359135,0.0008197662,0.0007619727,0.0005983597
0.07833333,0.001032835,0.0008048065,0.000002833296,0.001956261,0.000001549217,0.0003100491,0.0003554142,0.000811305,0.0007506901,0.0005924013
0.08000001,0.001017578,0.0007971585,0.00000283053,0.001964348,0.00000156188,0.000306355,0.0003518889,0.0008032953,0.0007397445,0.0005867538
0.08166667,0.001002768,0.0007899029,0.000002828495,0.001971719,0.000001574395,0.000302872,0.0003485451,0.0007957035,0.0007291286,0.0005813944
0.08333334,0.0009883961,0.000783011,0.000002827132,0.001978403,0.000001586772,0.0002995834,0.0003453694,0.0007884991,0.0007188349,0.0005763021
0.085,0.0009744527,0.0007764566,0.000002826391,0.001984429,0.000001599016,0.0002964756,0.00034235,0.0007816541,0.0007088555,0.0005714578
0.08666667,0.0009609283,0.0007702148,0.000002826217,0.001989824,0.000001611137,0.0002935342,0.0003394754,0.0007751418,0.0006991826,0.0005668434
0.08833334,0.0009478127,0.0007642635,0.000002826571,0.001994615,0.00000162314,0.0002907474,0.0003367356,0.0007689389,0.000689808,0.0005624427
0.09,0.0009350961,0.0007585817,0.000002827409,0.001998827,0.000001635031,0.0002881038,0.0003341208,0.0007630227,0.0006807238,0.0005582403
0.09166667,0.0009227681,0.0007531503,0.000002828694,0.002002485,0.000001646817,0.0002855929,0.0003316224,0.0007573729,0.0006719219,0.0005542223
0.09333333,0.0009108184,0.0007479515,0.000002830392,0.002005614,0.000001658502,0.0002832051,0.0003292323,0.0007519707,0.0006633941,0.0005503756
0.095,0.0008992366,0.0007429689,0.000002832469,0.002008235,0.000001670091,0.0002809316,0.0003269428,0.0007467986,0.0006551325,0.0005466882
0.09666667,0.0008880123,0.0007381875,0.000002834899,0.002010372,0.000001681588,0.0002787646,0.0003247471,0.0007418406,0.000647129,0.0005431492
0.09833334,0.0008771351,0.0007335932,0.000002837652,0.002012046,0.000001692998,0.0002766961,0.0003226387,0.0007370816,0.0006393758,0.0005397483
0.1,0.0008665952,0.0007291728,0.000002840701,0.002013277,0.000001704325,0.0002747187,0.0003206116,0.0007325076,0.0006318652,0.0005364756
0.1016667,0.0008563825,0.0007249138,0.000002844021,0.002014086,0.000001715573,0.0002728252,0.00031866,0.0007281053,0.0006245899,0.0005333222
0.1033333,0.000846486,0.0007208065,0.000002847599,0.002014491,0.000001726743,0.0002710123,0.0003167794,0.0007238643,0.0006175414,0.0005302808
0.105,0.0008368966,0.0007168394,0.000002851408,0.002014511,0.000001737841,0.0002692725,0.0003149645,0.0007197725,0.000610713,0.0005273432
0.1066667,0.0008276051,0.0007130025,0.000002855428,0.002014163,0.000001748868,0.0002675997,0.0003132107,0.0007158191,0.0006040978,0.0005245018
0.1083333,0.0008186023,0.0007092861,0.000002859635,0.002013465,0.000001759828,0.0002659884,0.0003115136,0.0007119938,0.0005976891,0.0005217496
0.11,0.0008098773,0.0007056846,0.00000286403,0.002012432,0.000001770723,0.0002644378,0.0003098705,0.0007082907,0.0005914785,0.0005190825
0.1116667,0.0008014219,0.0007021885,0.000002868589,0.002011081,0.000001781555,0.0002629414,0.000308277,0.0007046996,0.0005854605,0.0005164935
0.1133333,0.0007932278,0.0006987903,0.000002873296,0.002009426,0.000001792327,0.0002614951,0.0003067296,0.0007012124,0.0005796283,0.000513977
0.115,0.0007852863,0.0006954827,0.000002878136,0.002007481,0.000001803041,0.0002600947,0.000305225,0.0006978216,0.0005739761,0.0005115277
0.1166667,0.0007775878,0.000692262,0.000002883107,0.002005261,0.000001813697,0.0002587393,0.0003037614,0.0006945229,0.0005684965,0.0005091429
0.1183333,0.0007701245,0.000689121,0.000002888193,0.00200278,0.000001824299,0.0002574248,0.0003023355,0.000691309,0.0005631842,0.0005068173
0.12,0.0007628887,0.0006860545,0.000002893385,0.002000049,0.000001834848,0.0002561484,0.0003009449,0.0006881742,0.0005580332,0.000504547
0.1216667,0.0007558724,0.0006830574,0.000002898674,0.001997081,0.000001845345,0.0002549075,0.000299587,0.0006851128,0.000553038,0.0005023283
0.1233333,0.0007490675,0.000680126,0.000002904052,0.001993888,0.000001855792,0.0002537001,0.0002982604,0.0006821214,0.0005481925,0.0005001585
0.125,0.0007424668,0.000677256,0.000002909511,0.001990481,0.00000186619,0.000252524,0.0002969628,0.0006791949,0.0005434917,0.0004980344
0.1266667,0.0007360631,0.0006744434,0.000002915044,0.001986871,0.00000187654,0.0002513771,0.0002956925,0.0006763294,0.0005389303,0.0004959529
0.1283333,0.0007298492,0.0006716846,0.000002920646,0.001983069,0.000001886844,0.0002502578,0.0002944478,0.0006735208,0.0005345032,0.0004939116
0.13,0.0007238184,0.0006689766,0.000002926309,0.001979084,0.000001897102,0.0002491641,0.0002932272,0.0006707661,0.0005302054,0.0004919081
0.1316667,0.000717964,0.0006663163,0.000002932028,0.001974925,0.000001907316,0.0002480945,0.0002920293,0.0006680618,0.0005260324,0.0004899402
