Time [h],PeripheralVenousBlood-Analog6-Plasma (Peripheral Venous Blood) [µmol/l],ArterialBlood-Plasma-Analog6-Concentration in container [µmol/l],Brain-Analog6-Tissue [µmol/l],Liver-Analog6-Tissue (Liver) [µmol/l],Brain-Intracellular-Analog6-Concentration in container [µmol/l],Brain-Interstitial-Analog6-Concentration in container [µmol/l],Brain-BloodCells-Analog6-Concentration in container [µmol/l],Brain-Plasma-Analog6-Concentration in container [µmol/l],PeripheralVenousBlood-Analog6-Whole Blood (Peripheral Venous Blood) [µmol/l],ArterialBlood-Analog6-Whole Blood [µmol/l]
0.06,0.001576373,0.00128664,0.000003608576,0.001853782,0.000001262743,0.0005648491,0.00036588,0.001298604,0.001037386,0.0008526209
0.06166667,0.001557499,0.001274127,0.000003579978,0.00186807,0.000001278835,0.0005541285,0.000362079,0.001285104,0.001024982,0.0008443095
0.06333333,0.001539056,0.001262541,0.00000355538,0.001880945,0.000001294633,0.000544439,0.0003585638,0.001272644,0.001012881,0.0008366098
0.06500001,0.001521053,0.001251773,0.000003534313,0.001892466,0.000001310166,0.0005356614,0.000355301,0.001261102,0.001001085,0.0008294496
0.06666667,0.001503492,0.001241725,0.000003516368,0.001902692,0.000001325458,0.0005276914,0.0003522612,0.00125037,0.0009895938,0.0008227651
0.06833334,0.001486375,0.001232311,0.000003501176,0.001911683,0.000001340532,0.0005204353,0.0003494181,0.001240351,0.0009784051,0.0008164995
0.07,0.0014697,0.001223456,0.000003488415,0.001919496,0.000001355405,0.000513811,0.0003467485,0.00123096,0.0009675158,0.0008106028
0.07166667,0.001453464,0.001215089,0.000003477795,0.001926187,0.000001370096,0.0005077448,0.0003442318,0.00122212,0.0009569215,0.0008050302
0.07333334,0.001437661,0.001207154,0.000003469063,0.001931814,0.00000138462,0.0005021722,0.0003418498,0.001213766,0.0009466171,0.0007997428
0.075,0.001422283,0.001199597,0.000003461992,0.00193643,0.000001398989,0.0004970353,0.0003395864,0.001205838,0.0009365965,0.0007947059
0.07666667,0.001407324,0.001192372,0.000003456381,0.001940089,0.000001413217,0.0004922833,0.0003374277,0.001198286,0.0009268533,0.0007898894
0.07833333,0.001392774,0.001185438,0.000003452052,0.001942841,0.000001427312,0.000487871,0.0003353612,0.001191063,0.0009173803,0.0007852666
0.08000001,0.001378622,0.001178761,0.000003448849,0.001944738,0.000001441285,0.0004837584,0.0003333761,0.001184129,0.0009081704,0.0007808142
