ligand_id,round,affinity_kcal_per_mol,ligand_pdbqt,out_pdbqt,log
emap_Bn-4OCF3_Me,R1,-5.078,/Users/dhruv/Documents/Research/TBI-tracer/docking/emap_enum_round1/emap_Bn-4OCF3_Me.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/out_pdbqt/emap_Bn-4OCF3_Me_out.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/logs/emap_Bn-4OCF3_Me.log
emap_Bn-4OCHF2_Me,R1,-5.200,/Users/dhruv/Documents/Research/TBI-tracer/docking/emap_enum_round1/emap_Bn-4OCHF2_Me.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/out_pdbqt/emap_Bn-4OCHF2_Me_out.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/logs/emap_Bn-4OCHF2_Me.log
emap2_Bn_CH2CF3,R2,-6.605,/Users/dhruv/Documents/Research/TBI-tracer/docking/emap_enum_round2/emap2_Bn_CH2CF3.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/out_pdbqt/emap2_Bn_CH2CF3_out.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/logs/emap2_Bn_CH2CF3.log
emap2_Bn-4F_Me,R2,-5.699,/Users/dhruv/Documents/Research/TBI-tracer/docking/emap_enum_round2/emap2_Bn-4F_Me.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/out_pdbqt/emap2_Bn-4F_Me_out.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/logs/emap2_Bn-4F_Me.log
emap2_Bn-3,5diF_CH2CH2F,R2,-5.699,/Users/dhruv/Documents/Research/TBI-tracer/docking/emap_enum_round2/emap2_Bn-3,5diF_CH2CH2F.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/out_pdbqt/emap2_Bn-3,5diF_CH2CH2F_out.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/logs/emap2_Bn-3,5diF_CH2CH2F.log
emap2_Bn-3,4diF_Me,R2,-5.459,/Users/dhruv/Documents/Research/TBI-tracer/docking/emap_enum_round2/emap2_Bn-3,4diF_Me.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/out_pdbqt/emap2_Bn-3,4diF_Me_out.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/logs/emap2_Bn-3,4diF_Me.log
emap2_Bn-3,4diF_CHF2,R2,-5.500,/Users/dhruv/Documents/Research/TBI-tracer/docking/emap_enum_round2/emap2_Bn-3,4diF_CHF2.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/out_pdbqt/emap2_Bn-3,4diF_CHF2_out.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/logs/emap2_Bn-3,4diF_CHF2.log
emap2_Bn-3,4diCl_Me,R2,-5.801,/Users/dhruv/Documents/Research/TBI-tracer/docking/emap_enum_round2/emap2_Bn-3,4diCl_Me.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/out_pdbqt/emap2_Bn-3,4diCl_Me_out.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/logs/emap2_Bn-3,4diCl_Me.log
emap2_Bn-4OCF3_Me,R2,-5.674,/Users/dhruv/Documents/Research/TBI-tracer/docking/emap_enum_round2/emap2_Bn-4OCF3_Me.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/out_pdbqt/emap2_Bn-4OCF3_Me_out.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/logs/emap2_Bn-4OCF3_Me.log
emap2_Bn-4OMe_CH2CF3,R2,-5.634,/Users/dhruv/Documents/Research/TBI-tracer/docking/emap_enum_round2/emap2_Bn-4OMe_CH2CF3.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/out_pdbqt/emap2_Bn-4OMe_CH2CF3_out.pdbqt,/Users/dhruv/Documents/Research/TBI-tracer/docking/fine_all_rounds/logs/emap2_Bn-4OMe_CH2CF3.log
