tracer,Ki_nM,lipophilicity,energy,VT,BPND,VND,FP,VT_OVER_FP,pKi,z_pKi,z_docking,z_dock_ben,z_VT,z_BPND,z_VND_inv,z_fP_raw,z_VT_fP,z_logD_close,z_signal,z_bbb,z_engage,TBI_score
AC-5216,2.4,3.3,-6.228,NA,4.6,NA,NA,NA,8.619788758288394,1.6237038679923221,-1.3393175223510523,1.3393175223510523,NA,0.5283763820637805,NA,NA,NA,0.2901465132203028,0.5283763820637805,0.2901465132203028,1.4530720606075602,0.7581391118582188
DPA-713,15,2.41,-5.19,3.6,7.3,NA,NA,NA,7.823908740944319,-0.6636961181460661,0.7146041993464467,-0.7146041993464467,0.8848837819387201,NA,NA,NA,NA,0.789843285988601,1.399646903315452,0.789843285988601,-0.6942409668662944,0.6495198187955579
GE-180,9.2,2.95,-4.642,0.17,NA,NA,NA,NA,8.036212172654444,-0.053525167540418014,1.7989482296838555,-1.7989482296838555,-1.2525467617583292,NA,NA,NA,NA,0.8543202889264461,-1.2525467617583292,0.8543202889264461,-1.1007790048264805,-0.7856430245418196
PBR06,8.6,4.05,-5.439,2.1,NA,NA,0.022,100.7,8.065501548756432,0.030654001467067798,0.22190043373693139,-0.22190043373693139,-0.04985260743316738,NA,NA,-1.0000000000000002,1,-0.9187972918642912,0.5333988411408145,-0.9512783751185748,-0.1208786596553317,0.04018014765009274
PBR111,15.6,NA,-5.538,NA,2.78,1.18,NA,NA,7.806875401645538,-0.7126508088366823,0.026006165482545134,-0.026006165482545134,NA,-0.23241872502172628,1.0000000000000002,NA,NA,NA,0.10369547271147181,NA,-0.3006640228242,-0.04793933811440512
PBR28,3.4,3.01,-5.685,4.33,1.2,1.98,0.044,96.8,8.468521082957745,1.1889528114082166,-0.2648671419254811,0.2648671419254811,1.339788824766372,-0.892889202601452,-0.9999999999999998,0.9999999999999997,-1,0.7576047845196792,-0.48919791608730634,0.8545628707118074,0.6345014097185753,0.11666403901428091
PK11195,27.35,4.58,-6.136,0.7,0.8,NA,NA,NA,7.56304266933055,-1.4134385863444374,-1.15727436397324,1.15727436397324,-0.9222732375135958,-1.0600969184444202,NA,NA,NA,-1.773117580790738,-1.0141556914674785,-1.7731175807907382,0.12898918384616898,-0.8230046067380362
