ligand_id,logD7.4_est,TPSA,E_dock
emap2_Bn-4OCHF2_CH2F,3.152,82.25,-6.163
emap2_Bn-4OCHF2_CHF2,3.62,82.25,-5.082
emap2_Bn-4OCHF2_CH2CH2F,3.194,82.25,-6.261
emap2_Bn-4OCHF2_CH2CF3,3.787,82.25,-6.556
emap2_Bn-4OMe_Me,2.169,82.25,-6.076
emap2_Bn-4OMe_Et,2.652,82.25,-5.393
emap2_Bn-4OMe_iPr,3.213,82.25,-6.338
emap2_Bn-4OMe_cPr,2.967,82.25,-5.585
emap2_Bn-4OMe_CH2F,2.559,82.25,-5.387
emap2_Bn-4OMe_CHF2,3.027,82.25,-5.736
emap2_Bn-4OMe_CH2CH2F,2.601,82.25,-5.295
emap2_Bn-4OMe_CH2CF3,3.194,82.25,-6.577
emap2_Bn-4iPr_Me,3.361,73.02,-5.899
emap2_Bn-4iPr_Et,3.844,73.02,-5.69
emap2_Bn-4iPr_iPr,4.405,73.02,-5.739
emap2_Bn-4iPr_cPr,4.159,73.02,-6.687
emap2_Bn-4iPr_CH2F,3.751,73.02,-4.966
emap2_Bn-4iPr_CHF2,4.219,73.02,-5.556
emap2_Bn-4iPr_CH2CH2F,3.793,73.02,-5.451
emap2_Bn-4iPr_CH2CF3,4.386,73.02,-5.792
emap2_Bn-4CF2H_Me,3.175,73.02,-5.196
emap2_Bn-4CF2H_Et,3.658,73.02,-5.576
emap2_Bn-4CF2H_iPr,4.219,73.02,-5.865
emap2_Bn-4CF2H_cPr,3.973,73.02,-5.9
emap2_Bn-4CF2H_CH2F,3.565,73.02,-6.289
emap2_Bn-4CF2H_CHF2,4.033,73.02,-6.358
emap2_Bn-4CF2H_CH2CH2F,3.607,73.02,-5.67
emap2_Bn-4CF2H_CH2CF3,4.2,73.02,-6.828
emap2_Bn-4SF5_Me,4.895,73.02,-5.719
emap2_Bn-4SF5_Et,5.378,73.02,-5.62
emap2_Bn-4SF5_iPr,5.939,73.02,-6.693
emap2_Bn-4SF5_cPr,5.693,73.02,-5.72
emap2_Bn-4SF5_CH2F,5.285,73.02,-5.726
emap2_Bn-4SF5_CHF2,5.753,73.02,-6.901
emap2_Bn-4SF5_CH2CH2F,5.327,73.02,-6.565
emap2_Bn-4SF5_CH2CF3,5.92,73.02,-7.046
emap3_Bn_Me,2.237,73.02,-6.307
emap3_Bn_Et,2.72,73.02,-4.91
emap3_Bn_nPr,3.11,73.02,-5.994
emap3_Bn_nBu,3.5,73.02,-5.989
emap3_Bn_CH2F,2.627,73.02,-4.876
emap3_Bn_CH2CH2F,2.67,73.02,-6.005
emap3_Bn_CH2CH2CH2F,3.06,73.02,-5.943
emap3_Bn_CH2CHF2,3.095,73.02,-6.184
emap3_Bn_CH2CH2CHF2,2.965,73.02,-6.306
emap3_Bn_CH2CH2CH2CHF2,3.355,73.02,-5.986
emap3_Bn_CH2CF3,3.177,73.02,-4.945
emap3_Bn_CH2CH2CF3,3.263,73.02,-6.139
emap3_Bn_CH2CH2CH2CF3,3.653,73.02,-6.333
emap3_Bn_OCH2F,2.482,82.25,-5.849
emap3_Bn_OCH2CHF2,2.82,82.25,-5.961
emap3_Bn_OCH2CF3,3.117,82.25,-6.627
emap3_Bn_OCH2CH2F,2.524,82.25,-5.901
emap3_Bn_OCH2CH2CF3,3.16,82.25,-5.756
emap3_Bn_OCH2CH2CHF2,2.862,82.25,-6.003
emap3_Bn_OCH2CH2CH2F,2.567,82.25,-6.128
emap3_Bn_OCH2CH2CH2CF3,3.55,82.25,-6.02
emap3_Bn_CH2SiMe3,3.578,73.02,-6.23
emap3_Bn_CH2CH2SiMe3,4.038,73.02,-6.292
emap3_Bn_OSiMe3,2.887,82.25,-6.101
emap3_Bn_CH2SiEt3,4.748,73.02,-5.706
emap3_Bn_tBu,3.455,73.02,-6.194
emap3_Bn_BnCH2,4.057,73.02,-6.999
emap3_Bn_PhCH2F,4.159,73.02,-6.49
emap3_Bn_OCH2CF2H,2.82,82.25,-6.091
emap3_Bn_OCH2CH2CF2H,2.862,82.25,-6.21
emap3_Bn_CH2CF2H,3.095,73.02,-5.978
emap3_Bn_CH2CH2CF2H,2.965,73.02,-6.315
emap3_Bn_OCH2CH2CH2CHF2,3.253,82.25,-5.73
emap3_Bn_CH2CH2CF2CF3,3.601,73.02,-6.637
emap3_Bn_CH2CF2CF3,3.731,73.02,-6.633
emap3_Bn_CH2CH2CH2CF2CF3,3.991,73.02,-5.544
emap3_Bn_CH2CH2CF2CH3,3.058,73.02,-6.193
emap3_Bn_OCH2CF2CF3,3.455,82.25,-5.517
emap3_Bn_OCH2CF2CH3,2.913,82.25,-6.039
emap3_Bn_OCH2CH2CF2CF3,3.498,82.25,-5.3
emap3_Bn_CH2CF2CH2F,3.138,73.02,-6
emap3_Bn_CH2CH2CF2CH2F,3.008,73.02,-5.87
emap3_Bn_OCH2CF2CH2F,2.862,82.25,-5.785
emap3_Bn_CH2CH2CF2CH2CHF2,3.303,73.02,-6.482
emap3_Bn_CH2CH2CF2CH2CF3,3.601,73.02,-6.594
emap3_Bn_OCH2CH2CF2CH2F,2.905,82.25,-6.029
emap3_Bn_CH2CH2CF2CH2CH2F,3.398,73.02,-6.344
emap3_Bn_CH2CF2CH2CH2F,3.528,73.02,-5.882
emap3_Bn_CH2CF2CH2CHF2,3.433,73.02,-6.178
emap3_Bn_CH2CF2CH2CF3,3.731,73.02,-6.169
emap3_Bn_OCH2CF2CH2CH2F,3.253,82.25,-6.1
emap3_Bn_OCH2CH2CF2CH2CH2F,3.295,82.25,-5.641
emap3_Bn_CH2CH2CF2CH2CH2CHF2,3.694,73.02,-6.399
emap3_Bn_CH2CH2CF2CH2CH2CF3,3.991,73.02,-6.649
emap3_Bn-4F_Me,2.376,73.02,-5.452
emap3_Bn-4F_Et,2.859,73.02,-6.2
emap3_Bn-4F_nPr,3.249,73.02,-6.29
emap3_Bn-4F_nBu,3.639,73.02,-6.127
emap3_Bn-4F_CH2F,2.766,73.02,-6.133
emap3_Bn-4F_CH2CH2F,2.809,73.02,-5.97
emap3_Bn-4F_CH2CH2CH2F,3.199,73.02,-6.097
emap3_Bn-4F_CH2CHF2,3.234,73.02,-5.266
emap3_Bn-4F_CH2CH2CHF2,3.104,73.02,-6.258
emap3_Bn-4F_CH2CH2CH2CHF2,3.495,73.02,-6.364
emap3_Bn-4F_CH2CF3,3.316,73.02,-6.176
emap3_Bn-4F_CH2CH2CF3,3.402,73.02,-6.234
emap3_Bn-4F_CH2CH2CH2CF3,3.792,73.02,-6.49
emap3_Bn-4F_OCH2F,2.621,82.25,-5.949
emap3_Bn-4F_OCH2CHF2,2.959,82.25,-6.316
emap3_Bn-4F_OCH2CF3,3.256,82.25,-6.37
emap3_Bn-4F_OCH2CH2F,2.663,82.25,-6.169
emap3_Bn-4F_OCH2CH2CF3,3.299,82.25,-6.025
emap3_Bn-4F_OCH2CH2CHF2,3.002,82.25,-5.796
emap3_Bn-4F_OCH2CH2CH2F,2.706,82.25,-6.035
emap3_Bn-4F_OCH2CH2CH2CF3,3.689,82.25,-5.284
