ligand_id,logD7.4_est,TPSA,E_dock
emap3_Bn-3Cl_CH2CH2CH2F,3.713,73.02,-6.407
emap3_Bn-3Cl_CH2CHF2,3.749,73.02,-5.009
emap3_Bn-3Cl_CH2CH2CHF2,3.619,73.02,-6.366
emap3_Bn-3Cl_CH2CH2CH2CHF2,4.009,73.02,-6.347
emap3_Bn-3Cl_CH2CF3,3.83,73.02,-6.267
emap3_Bn-3Cl_CH2CH2CF3,3.916,73.02,-6.146
emap3_Bn-3Cl_CH2CH2CH2CF3,4.306,73.02,-6.601
emap3_Bn-3Cl_OCH2F,3.135,82.25,-6.451
emap3_Bn-3Cl_OCH2CHF2,3.473,82.25,-6.404
emap3_Bn-3Cl_OCH2CF3,3.771,82.25,-6.682
emap3_Bn-3Cl_OCH2CH2F,3.178,82.25,-6.148
emap3_Bn-3Cl_OCH2CH2CF3,3.813,82.25,-6.301
emap3_Bn-3Cl_OCH2CH2CHF2,3.516,82.25,-6.372
emap3_Bn-3Cl_OCH2CH2CH2F,3.22,82.25,-6.018
emap3_Bn-3Cl_OCH2CH2CH2CF3,4.203,82.25,-6.373
emap3_Bn-3Cl_CH2SiMe3,4.231,73.02,-6.215
emap3_Bn-3Cl_CH2CH2SiMe3,4.692,73.02,-6.317
emap3_Bn-3Cl_OSiMe3,3.54,82.25,-6.115
emap3_Bn-3Cl_CH2SiEt3,5.401,73.02,-6.48
emap3_Bn-3Cl_tBu,4.109,73.02,-6.305
emap3_Bn-3Cl_BnCH2,4.71,73.02,-6.999
emap3_Bn-3Cl_PhCH2F,4.812,73.02,-6.455
emap3_Bn-3Cl_OCH2CF2H,3.473,82.25,-6.368
emap3_Bn-3Cl_OCH2CH2CF2H,3.516,82.25,-6.331
emap3_Bn-3Cl_CH2CF2H,3.749,73.02,-5.005
emap3_Bn-3Cl_CH2CH2CF2H,3.619,73.02,-6.379
emap3_Bn-3Cl_OCH2CH2CH2CHF2,3.906,82.25,-6.301
emap3_Bn-3Cl_CH2CH2CF2CF3,4.254,73.02,-6.675
emap3_Bn-3Cl_CH2CF2CF3,4.384,73.02,-6.627
emap3_Bn-3Cl_CH2CH2CH2CF2CF3,4.644,73.02,-7.08
emap3_Bn-3Cl_CH2CH2CF2CH3,3.712,73.02,-6.375
emap3_Bn-3Cl_OCH2CF2CF3,4.109,82.25,-6.593
emap3_Bn-3Cl_OCH2CF2CH3,3.566,82.25,-6.246
emap3_Bn-3Cl_OCH2CH2CF2CF3,4.151,82.25,-5.844
emap3_Bn-3Cl_CH2CF2CH2F,3.791,73.02,-6.266
emap3_Bn-3Cl_CH2CH2CF2CH2F,3.661,73.02,-6.25
emap3_Bn-3Cl_OCH2CF2CH2F,3.516,82.25,-6.471
emap3_Bn-3Cl_CH2CH2CF2CH2CHF2,3.957,73.02,-5.835
emap3_Bn-3Cl_CH2CH2CF2CH2CF3,4.254,73.02,-6.585
emap3_Bn-3Cl_OCH2CH2CF2CH2F,3.558,82.25,-5.558
emap3_Bn-3Cl_CH2CH2CF2CH2CH2F,4.051,73.02,-6.326
emap3_Bn-3Cl_CH2CF2CH2CH2F,4.181,73.02,-6.061
emap3_Bn-3Cl_CH2CF2CH2CHF2,4.087,73.02,-6.299
emap3_Bn-3Cl_CH2CF2CH2CF3,4.384,73.02,-6.336
emap3_Bn-3Cl_OCH2CF2CH2CH2F,3.906,82.25,-6.407
emap3_Bn-3Cl_OCH2CH2CF2CH2CH2F,3.948,82.25,-6.554
emap3_Bn-3Cl_CH2CH2CF2CH2CH2CHF2,4.347,73.02,-6.44
emap3_Bn-3Cl_CH2CH2CF2CH2CH2CF3,4.644,73.02,-6.47
emap3_Bn-4Br_Me,3,73.02,-5.487
emap3_Bn-4Br_Et,3.483,73.02,-6.254
emap3_Bn-4Br_nPr,3.873,73.02,-6.199
emap3_Bn-4Br_nBu,4.263,73.02,-6.118
emap3_Bn-4Br_CH2F,3.39,73.02,-6.206
emap3_Bn-4Br_CH2CH2F,3.432,73.02,-6.139
emap3_Bn-4Br_CH2CH2CH2F,3.822,73.02,-6.169
emap3_Bn-4Br_CH2CHF2,3.858,73.02,-6.275
emap3_Bn-4Br_CH2CH2CHF2,3.728,73.02,-6.303
emap3_Bn-4Br_CH2CH2CH2CHF2,4.118,73.02,-6.425
emap3_Bn-4Br_CH2CF3,3.939,73.02,-6.21
emap3_Bn-4Br_CH2CH2CF3,4.025,73.02,-6.336
emap3_Bn-4Br_CH2CH2CH2CF3,4.415,73.02,-6.443
emap3_Bn-4Br_OCH2F,3.244,82.25,-6.243
emap3_Bn-4Br_OCH2CHF2,3.582,82.25,-6.356
emap3_Bn-4Br_OCH2CF3,3.88,82.25,-6.377
emap3_Bn-4Br_OCH2CH2F,3.287,82.25,-6.189
emap3_Bn-4Br_OCH2CH2CF3,3.922,82.25,-5.65
emap3_Bn-4Br_OCH2CH2CHF2,3.625,82.25,-5.358
emap3_Bn-4Br_OCH2CH2CH2F,3.329,82.25,-6.139
emap3_Bn-4Br_OCH2CH2CH2CF3,4.312,82.25,-5.198
emap3_Bn-4Br_CH2SiMe3,4.34,73.02,-6.283
emap3_Bn-4Br_CH2CH2SiMe3,4.801,73.02,-5.609
emap3_Bn-4Br_OSiMe3,3.649,82.25,-6.224
emap3_Bn-4Br_CH2SiEt3,5.51,73.02,-6.074
emap3_Bn-4Br_tBu,4.218,73.02,-6.199
emap3_Bn-4Br_BnCH2,4.819,73.02,-6.927
emap3_Bn-4Br_PhCH2F,4.921,73.02,-5.685
emap3_Bn-4Br_OCH2CF2H,3.582,82.25,-6.389
emap3_Bn-4Br_OCH2CH2CF2H,3.625,82.25,-5.65
emap3_Bn-4Br_CH2CF2H,3.858,73.02,-6.271
emap3_Bn-4Br_CH2CH2CF2H,3.728,73.02,-6.22
emap3_Bn-4Br_OCH2CH2CH2CHF2,4.015,82.25,-6.171
emap3_Bn-4Br_CH2CH2CF2CF3,4.363,73.02,-6.45
emap3_Bn-4Br_CH2CF2CF3,4.493,73.02,-6.125
emap3_Bn-4Br_CH2CH2CH2CF2CF3,4.753,73.02,-6.648
emap3_Bn-4Br_CH2CH2CF2CH3,3.821,73.02,-6.309
emap3_Bn-4Br_OCH2CF2CF3,4.218,82.25,-6.373
emap3_Bn-4Br_OCH2CF2CH3,3.675,82.25,-6.291
emap3_Bn-4Br_OCH2CH2CF2CF3,4.26,82.25,-6.036
emap3_Bn-4Br_CH2CF2CH2F,3.9,73.02,-6.207
emap3_Bn-4Br_CH2CH2CF2CH2F,3.77,73.02,-6.143
emap3_Bn-4Br_OCH2CF2CH2F,3.625,82.25,-5.416
emap3_Bn-4Br_CH2CH2CF2CH2CHF2,4.066,73.02,-6.324
emap3_Bn-4Br_CH2CH2CF2CH2CF3,4.363,73.02,-6.437
emap3_Bn-4Br_OCH2CH2CF2CH2F,3.667,82.25,-5.737
emap3_Bn-4Br_CH2CH2CF2CH2CH2F,4.16,73.02,-5.638
emap3_Bn-4Br_CH2CF2CH2CH2F,4.29,73.02,-6.127
emap3_Bn-4Br_CH2CF2CH2CHF2,4.196,73.02,-6.554
emap3_Bn-4Br_CH2CF2CH2CF3,4.493,73.02,-6.115
emap3_Bn-4Br_OCH2CF2CH2CH2F,4.015,82.25,-5.629
emap3_Bn-4Br_OCH2CH2CF2CH2CH2F,4.058,82.25,-6.298
emap3_Bn-4Br_CH2CH2CF2CH2CH2CHF2,4.456,73.02,-5.802
emap3_Bn-4Br_CH2CH2CF2CH2CH2CF3,4.753,73.02,-6.551
emap3_Bn-4OMe_Me,2.169,82.25,-5.989
emap3_Bn-4OMe_Et,2.652,82.25,-6.114
emap3_Bn-4OMe_nPr,3.042,82.25,-5.933
emap3_Bn-4OMe_nBu,3.432,82.25,-6.152
emap3_Bn-4OMe_CH2F,2.559,82.25,-6.14
emap3_Bn-4OMe_CH2CH2F,2.601,82.25,-5.817
emap3_Bn-4OMe_CH2CH2CH2F,2.991,82.25,-6.065
emap3_Bn-4OMe_CH2CHF2,3.027,82.25,-5.197
emap3_Bn-4OMe_CH2CH2CHF2,2.897,82.25,-6.3
emap3_Bn-4OMe_CH2CH2CH2CHF2,3.287,82.25,-5.778
emap3_Bn-4OMe_CH2CF3,3.108,82.25,-5.652
emap3_Bn-4OMe_CH2CH2CF3,3.194,82.25,-5.672
emap3_Bn-4OMe_CH2CH2CH2CF3,3.584,82.25,-5.9
emap3_Bn-4OMe_OCH2F,2.414,91.48,-5.845
emap3_Bn-4OMe_OCH2CHF2,2.752,91.48,-5.82
emap3_Bn-4OMe_OCH2CF3,3.049,91.48,-6.298
emap3_Bn-4OMe_OCH2CH2F,2.456,91.48,-6.031
emap3_Bn-4OMe_OCH2CH2CF3,3.091,91.48,-6.272
emap3_Bn-4OMe_OCH2CH2CHF2,2.794,91.48,-5.799
emap3_Bn-4OMe_OCH2CH2CH2F,2.499,91.48,-5.348
emap3_Bn-4OMe_OCH2CH2CH2CF3,3.481,91.48,-5.044
emap3_Bn-4OMe_CH2SiMe3,3.509,82.25,-5.468
emap3_Bn-4OMe_CH2CH2SiMe3,3.97,82.25,-5.806
emap3_Bn-4OMe_OSiMe3,2.818,91.48,-5.35
emap3_Bn-4OMe_CH2SiEt3,4.68,82.25,-5.302
emap3_Bn-4OMe_tBu,3.387,82.25,-5.617
emap3_Bn-4OMe_BnCH2,3.989,82.25,-5.851
emap3_Bn-4OMe_PhCH2F,4.091,82.25,-5.986
emap3_Bn-4OMe_OCH2CF2H,2.752,91.48,-5.523
emap3_Bn-4OMe_OCH2CH2CF2H,2.794,91.48,-5.368
emap3_Bn-4OMe_CH2CF2H,3.027,82.25,-5.754
emap3_Bn-4OMe_CH2CH2CF2H,2.897,82.25,-6.015
emap3_Bn-4OMe_OCH2CH2CH2CHF2,3.184,91.48,-6.077
emap3_Bn-4OMe_CH2CH2CF2CF3,3.532,82.25,-6.365
emap3_Bn-4OMe_CH2CF2CF3,3.662,82.25,-6.336
emap3_Bn-4OMe_CH2CH2CH2CF2CF3,3.922,82.25,-5.889
emap3_Bn-4OMe_CH2CH2CF2CH3,2.99,82.25,-6.204
emap3_Bn-4OMe_OCH2CF2CF3,3.387,91.48,-5.796
emap3_Bn-4OMe_OCH2CF2CH3,2.845,91.48,-5.396
emap3_Bn-4OMe_OCH2CH2CF2CF3,3.429,91.48,-5.881
emap3_Bn-4OMe_CH2CF2CH2F,3.069,82.25,-5.387
emap3_Bn-4OMe_CH2CH2CF2CH2F,2.939,82.25,-5.464
emap3_Bn-4OMe_OCH2CF2CH2F,2.794,91.48,-5.403
emap3_Bn-4OMe_CH2CH2CF2CH2CHF2,3.235,82.25,-5.671
emap3_Bn-4OMe_CH2CH2CF2CH2CF3,3.532,82.25,-6.386
emap3_Bn-4OMe_OCH2CH2CF2CH2F,2.837,91.48,-6.097
emap3_Bn-4OMe_CH2CH2CF2CH2CH2F,3.33,82.25,-5.298
emap3_Bn-4OMe_CH2CF2CH2CH2F,3.46,82.25,-5.081
emap3_Bn-4OMe_CH2CF2CH2CHF2,3.365,82.25,-5.439
emap3_Bn-4OMe_CH2CF2CH2CF3,3.662,82.25,-6.316
emap3_Bn-4OMe_OCH2CF2CH2CH2F,3.184,91.48,-5.781
emap3_Bn-4OMe_OCH2CH2CF2CH2CH2F,3.227,91.48,-5.936
emap3_Bn-4OMe_CH2CH2CF2CH2CH2CHF2,3.625,82.25,-6.08
emap3_Bn-4OMe_CH2CH2CF2CH2CH2CF3,3.922,82.25,-5.871
emap3_Bn-3OMe_Me,2.169,82.25,-5.69
emap3_Bn-3OMe_Et,2.652,82.25,-5.783
emap3_Bn-3OMe_nPr,3.042,82.25,-5.952
emap3_Bn-3OMe_nBu,3.432,82.25,-5.519
emap3_Bn-3OMe_CH2F,2.559,82.25,-5.779
emap3_Bn-3OMe_CH2CH2F,2.601,82.25,-5.879
emap3_Bn-3OMe_CH2CH2CH2F,2.991,82.25,-6.045
emap3_Bn-3OMe_CH2CHF2,3.027,82.25,-6.371
emap3_Bn-3OMe_CH2CH2CHF2,2.897,82.25,-6.241
emap3_Bn-3OMe_CH2CH2CH2CHF2,3.287,82.25,-6.133
emap3_Bn-3OMe_CH2CF3,3.108,82.25,-6.075
emap3_Bn-3OMe_CH2CH2CF3,3.194,82.25,-6.143
emap3_Bn-3OMe_CH2CH2CH2CF3,3.584,82.25,-6.374
emap3_Bn-3OMe_OCH2F,2.414,91.48,-6.206
emap3_Bn-3OMe_OCH2CHF2,2.752,91.48,-6.327
emap3_Bn-3OMe_OCH2CF3,3.049,91.48,-6.353
emap3_Bn-3OMe_OCH2CH2F,2.456,91.48,-5.72
emap3_Bn-3OMe_OCH2CH2CF3,3.091,91.48,-5.958
emap3_Bn-3OMe_OCH2CH2CHF2,2.794,91.48,-5.477
emap3_Bn-3OMe_OCH2CH2CH2F,2.499,91.48,-5.898
emap3_Bn-3OMe_OCH2CH2CH2CF3,3.481,91.48,-6.348
emap3_Bn-3OMe_CH2SiMe3,3.509,82.25,-6.334
emap3_Bn-3OMe_CH2CH2SiMe3,3.97,82.25,-5.477
emap3_Bn-3OMe_OSiMe3,2.818,91.48,-6.127
emap3_Bn-3OMe_CH2SiEt3,4.68,82.25,-5.769
emap3_Bn-3OMe_tBu,3.387,82.25,-6.451
emap3_Bn-3OMe_BnCH2,3.989,82.25,-6.842
emap3_Bn-3OMe_PhCH2F,4.091,82.25,-5.783
emap3_Bn-3OMe_OCH2CF2H,2.752,91.48,-6.132
emap3_Bn-3OMe_OCH2CH2CF2H,2.794,91.48,-6.096
emap3_Bn-3OMe_CH2CF2H,3.027,82.25,-5.989
emap3_Bn-3OMe_CH2CH2CF2H,2.897,82.25,-6.26
emap3_Bn-3OMe_OCH2CH2CH2CHF2,3.184,91.48,-6.434
emap3_Bn-3OMe_CH2CH2CF2CF3,3.532,82.25,-6.369
emap3_Bn-3OMe_CH2CF2CF3,3.662,82.25,-6.331
emap3_Bn-3OMe_CH2CH2CH2CF2CF3,3.922,82.25,-5.517
emap3_Bn-3OMe_CH2CH2CF2CH3,2.99,82.25,-6.297
emap3_Bn-3OMe_OCH2CF2CF3,3.387,91.48,-6.288
emap3_Bn-3OMe_OCH2CF2CH3,2.845,91.48,-6.142
emap3_Bn-3OMe_OCH2CH2CF2CF3,3.429,91.48,-6.243
emap3_Bn-3OMe_CH2CF2CH2F,3.069,82.25,-5.363
emap3_Bn-3OMe_CH2CH2CF2CH2F,2.939,82.25,-6.083
emap3_Bn-3OMe_OCH2CF2CH2F,2.794,91.48,-6.145
emap3_Bn-3OMe_CH2CH2CF2CH2CHF2,3.235,82.25,-6.31
emap3_Bn-3OMe_CH2CH2CF2CH2CF3,3.532,82.25,-6.085
emap3_Bn-3OMe_OCH2CH2CF2CH2F,2.837,91.48,-6.062
emap3_Bn-3OMe_CH2CH2CF2CH2CH2F,3.33,82.25,-6.056
emap3_Bn-3OMe_CH2CF2CH2CH2F,3.46,82.25,-6.072
emap3_Bn-3OMe_CH2CF2CH2CHF2,3.365,82.25,-6.411
emap3_Bn-3OMe_CH2CF2CH2CF3,3.662,82.25,-6.205
emap3_Bn-3OMe_OCH2CF2CH2CH2F,3.184,91.48,-6.403
emap3_Bn-3OMe_OCH2CH2CF2CH2CH2F,3.227,91.48,-6.14
emap3_Bn-3OMe_CH2CH2CF2CH2CH2CHF2,3.625,82.25,-6.559
emap3_Bn-3OMe_CH2CH2CF2CH2CH2CF3,3.922,82.25,-6.45
emap3_Bn-4OCHF2_Me,2.762,82.25,-4.811
emap3_Bn-4OCHF2_Et,3.245,82.25,-6.029
emap3_Bn-4OCHF2_nPr,3.635,82.25,-6.378
emap3_Bn-4OCHF2_nBu,4.025,82.25,-6.311
emap3_Bn-4OCHF2_CH2F,3.152,82.25,-4.905
emap3_Bn-4OCHF2_CH2CH2F,3.194,82.25,-6.165
emap3_Bn-4OCHF2_CH2CH2CH2F,3.584,82.25,-6.264
emap3_Bn-4OCHF2_CH2CHF2,3.62,82.25,-4.917
emap3_Bn-4OCHF2_CH2CH2CHF2,3.49,82.25,-4.949
emap3_Bn-4OCHF2_CH2CH2CH2CHF2,3.88,82.25,-5.849
emap3_Bn-4OCHF2_CH2CF3,3.701,82.25,-6.542
emap3_Bn-4OCHF2_CH2CH2CF3,3.787,82.25,-6.276
emap3_Bn-4OCHF2_CH2CH2CH2CF3,4.177,82.25,-6.161
emap3_Bn-4OCHF2_OCH2F,3.006,91.48,-6.127
emap3_Bn-4OCHF2_OCH2CHF2,3.344,91.48,-6.054
emap3_Bn-4OCHF2_OCH2CF3,3.642,91.48,-5.639
emap3_Bn-4OCHF2_OCH2CH2F,3.049,91.48,-4.594
emap3_Bn-4OCHF2_OCH2CH2CF3,3.684,91.48,-6.192
emap3_Bn-4OCHF2_OCH2CH2CHF2,3.387,91.48,-6.107
emap3_Bn-4OCHF2_OCH2CH2CH2F,3.091,91.48,-5.985
emap3_Bn-4OCHF2_OCH2CH2CH2CF3,4.074,91.48,-6.101
emap3_Bn-4OCHF2_CH2SiMe3,4.102,82.25,-5.7
emap3_Bn-4OCHF2_CH2CH2SiMe3,4.563,82.25,-5.596
emap3_Bn-4OCHF2_OSiMe3,3.411,91.48,-5.906
emap3_Bn-4OCHF2_CH2SiEt3,5.272,82.25,-5.391
emap3_Bn-4OCHF2_tBu,3.98,82.25,-6.41
emap3_Bn-4OCHF2_BnCH2,4.581,82.25,-6.295
emap3_Bn-4OCHF2_PhCH2F,4.683,82.25,-5.575
emap3_Bn-4OCHF2_OCH2CF2H,3.344,91.48,-6.091
emap3_Bn-4OCHF2_OCH2CH2CF2H,3.387,91.48,-5.567
emap3_Bn-4OCHF2_CH2CF2H,3.62,82.25,-6.407
emap3_Bn-4OCHF2_CH2CH2CF2H,3.49,82.25,-5.016
emap3_Bn-4OCHF2_OCH2CH2CH2CHF2,3.777,91.48,-6.249
emap3_Bn-4OCHF2_CH2CH2CF2CF3,4.125,82.25,-6.395
emap3_Bn-4OCHF2_CH2CF2CF3,4.255,82.25,-5.861
emap3_Bn-4OCHF2_CH2CH2CH2CF2CF3,4.515,82.25,-6.218
emap3_Bn-4OCHF2_CH2CH2CF2CH3,3.583,82.25,-4.848
emap3_Bn-4OCHF2_OCH2CF2CF3,3.98,91.48,-5.582
emap3_Bn-4OCHF2_OCH2CF2CH3,3.437,91.48,-6.133
emap3_Bn-4OCHF2_OCH2CH2CF2CF3,4.022,91.48,-5.716
emap3_Bn-4OCHF2_CH2CF2CH2F,3.662,82.25,-4.862
emap3_Bn-4OCHF2_CH2CH2CF2CH2F,3.532,82.25,-6.036
emap3_Bn-4OCHF2_OCH2CF2CH2F,3.387,91.48,-6.003
emap3_Bn-4OCHF2_CH2CH2CF2CH2CHF2,3.828,82.25,-6.147
emap3_Bn-4OCHF2_CH2CH2CF2CH2CF3,4.125,82.25,-6.365
emap3_Bn-4OCHF2_OCH2CH2CF2CH2F,3.429,91.48,-6.044
emap3_Bn-4OCHF2_CH2CH2CF2CH2CH2F,3.922,82.25,-5.988
emap3_Bn-4OCHF2_CH2CF2CH2CH2F,4.052,82.25,-5.858
emap3_Bn-4OCHF2_CH2CF2CH2CHF2,3.958,82.25,-6.112
emap3_Bn-4OCHF2_CH2CF2CH2CF3,4.255,82.25,-6.398
emap3_Bn-4OCHF2_OCH2CF2CH2CH2F,3.777,91.48,-6.147
emap3_Bn-4OCHF2_OCH2CH2CF2CH2CH2F,3.82,91.48,-6.137
emap3_Bn-4OCHF2_CH2CH2CF2CH2CH2CHF2,4.218,82.25,-6.364
emap3_Bn-4OCHF2_CH2CH2CF2CH2CH2CF3,4.515,82.25,-6.456
emap3_Bn-4OCF3_Me,3.059,82.25,-5.731
emap3_Bn-4OCF3_Et,3.542,82.25,-6.426
emap3_Bn-4OCF3_nPr,3.932,82.25,-6.387
emap3_Bn-4OCF3_nBu,4.322,82.25,-6.294
emap3_Bn-4OCF3_CH2F,3.449,82.25,-6.324
emap3_Bn-4OCF3_CH2CH2F,3.491,82.25,-6.398
emap3_Bn-4OCF3_CH2CH2CH2F,3.881,82.25,-6.263
emap3_Bn-4OCF3_CH2CHF2,3.917,82.25,-6.579
emap3_Bn-4OCF3_CH2CH2CHF2,3.787,82.25,-6.433
emap3_Bn-4OCF3_CH2CH2CH2CHF2,4.177,82.25,-6.195
emap3_Bn-4OCF3_CH2CF3,3.998,82.25,-6.728
emap3_Bn-4OCF3_CH2CH2CF3,4.084,82.25,-6.611
emap3_Bn-4OCF3_CH2CH2CH2CF3,4.474,82.25,-6.241
emap3_Bn-4OCF3_OCH2F,3.304,91.48,-6.46
emap3_Bn-4OCF3_OCH2CHF2,3.642,91.48,-6.302
emap3_Bn-4OCF3_OCH2CF3,3.939,91.48,-6.469
emap3_Bn-4OCF3_OCH2CH2F,3.346,91.48,-6.156
emap3_Bn-4OCF3_OCH2CH2CF3,3.981,91.48,-5.772
emap3_Bn-4OCF3_OCH2CH2CHF2,3.684,91.48,-6.388
emap3_Bn-4OCF3_OCH2CH2CH2F,3.389,91.48,-6.108
emap3_Bn-4OCF3_OCH2CH2CH2CF3,4.371,91.48,-5.81
emap3_Bn-4OCF3_CH2SiMe3,4.399,82.25,-6.086
emap3_Bn-4OCF3_CH2CH2SiMe3,4.86,82.25,-6.329
emap3_Bn-4OCF3_OSiMe3,3.708,91.48,-6.064
emap3_Bn-4OCF3_CH2SiEt3,5.57,82.25,-6.011
emap3_Bn-4OCF3_tBu,4.277,82.25,-6.817
emap3_Bn-4OCF3_BnCH2,4.879,82.25,-6.604
emap3_Bn-4OCF3_PhCH2F,4.981,82.25,-6.172
emap3_Bn-4OCF3_OCH2CF2H,3.642,91.48,-6.208
emap3_Bn-4OCF3_OCH2CH2CF2H,3.684,91.48,-6.452
emap3_Bn-4OCF3_CH2CF2H,3.917,82.25,-6.671
emap3_Bn-4OCF3_CH2CH2CF2H,3.787,82.25,-6.462
emap3_Bn-4OCF3_OCH2CH2CH2CHF2,4.074,91.48,-6.499
emap3_Bn-4OCF3_CH2CH2CF2CF3,4.422,82.25,-6.429
emap3_Bn-4OCF3_CH2CF2CF3,4.552,82.25,-6.362
emap3_Bn-4OCF3_CH2CH2CH2CF2CF3,4.812,82.25,-6.047
emap3_Bn-4OCF3_CH2CH2CF2CH3,3.88,82.25,-6.454
emap3_Bn-4OCF3_OCH2CF2CF3,4.277,91.48,-6.461
emap3_Bn-4OCF3_OCH2CF2CH3,3.735,91.48,-6.28
emap3_Bn-4OCF3_OCH2CH2CF2CF3,4.319,91.48,-5.867
emap3_Bn-4OCF3_CH2CF2CH2F,3.959,82.25,-6.35
emap3_Bn-4OCF3_CH2CH2CF2CH2F,3.829,82.25,-6.306
emap3_Bn-4OCF3_OCH2CF2CH2F,3.684,91.48,-6.388
emap3_Bn-4OCF3_CH2CH2CF2CH2CHF2,4.125,82.25,-6.411
emap3_Bn-4OCF3_CH2CH2CF2CH2CF3,4.422,82.25,-6.468
emap3_Bn-4OCF3_OCH2CH2CF2CH2F,3.727,91.48,-6.378
emap3_Bn-4OCF3_CH2CH2CF2CH2CH2F,4.22,82.25,-6.355
emap3_Bn-4OCF3_CH2CF2CH2CH2F,4.35,82.25,-6.289
emap3_Bn-4OCF3_CH2CF2CH2CHF2,4.255,82.25,-6.52
emap3_Bn-4OCF3_CH2CF2CH2CF3,4.552,82.25,-6.326
emap3_Bn-4OCF3_OCH2CF2CH2CH2F,4.074,91.48,-5.796
emap3_Bn-4OCF3_OCH2CH2CF2CH2CH2F,4.117,91.48,-6.386
emap3_Bn-4OCF3_CH2CH2CF2CH2CH2CHF2,4.515,82.25,-6.601
emap3_Bn-4OCF3_CH2CH2CF2CH2CH2CF3,4.812,82.25,-5.802
emap3_Bn-4CF3_Me,3.256,73.02,-5.676
emap3_Bn-4CF3_Et,3.739,73.02,-5.141
emap3_Bn-4CF3_nPr,4.129,73.02,-4.969
emap3_Bn-4CF3_nBu,4.519,73.02,-5.316
emap3_Bn-4CF3_CH2F,3.646,73.02,-5.117
emap3_Bn-4CF3_CH2CH2F,3.689,73.02,-6.438
emap3_Bn-4CF3_CH2CH2CH2F,4.079,73.02,-5.677
emap3_Bn-4CF3_CH2CHF2,4.114,73.02,-5.959
emap3_Bn-4CF3_CH2CH2CHF2,3.984,73.02,-7.029
emap3_Bn-4CF3_CH2CH2CH2CHF2,4.374,73.02,-6.685
emap3_Bn-4CF3_CH2CF3,4.195,73.02,-5.455
emap3_Bn-4CF3_CH2CH2CF3,4.281,73.02,-5.515
emap3_Bn-4CF3_CH2CH2CH2CF3,4.671,73.02,-5.299
emap3_Bn-4CF3_OCH2F,3.501,82.25,-4.896
emap3_Bn-4CF3_OCH2CHF2,3.839,82.25,-5.696
emap3_Bn-4CF3_OCH2CF3,4.136,82.25,-5.971
emap3_Bn-4CF3_OCH2CH2F,3.543,82.25,-5.371
emap3_Bn-4CF3_OCH2CH2CF3,4.178,82.25,-5.505
emap3_Bn-4CF3_OCH2CH2CHF2,3.881,82.25,-5.272
emap3_Bn-4CF3_OCH2CH2CH2F,3.586,82.25,-5.685
emap3_Bn-4CF3_OCH2CH2CH2CF3,4.569,82.25,-5.823
emap3_Bn-4CF3_CH2SiMe3,4.596,73.02,-5.456
emap3_Bn-4CF3_CH2CH2SiMe3,5.057,73.02,-5.243
emap3_Bn-4CF3_OSiMe3,3.906,82.25,-5.874
emap3_Bn-4CF3_CH2SiEt3,5.767,73.02,-5.299
emap3_Bn-4CF3_tBu,4.474,73.02,-6.021
emap3_Bn-4CF3_BnCH2,5.076,73.02,-6.345
emap3_Bn-4CF3_PhCH2F,5.178,73.02,-7.149
emap3_Bn-4CF3_OCH2CF2H,3.839,82.25,-5.582
emap3_Bn-4CF3_OCH2CH2CF2H,3.881,82.25,-6.503
emap3_Bn-4CF3_CH2CF2H,4.114,73.02,-5.96
emap3_Bn-4CF3_CH2CH2CF2H,3.984,73.02,-5.412
emap3_Bn-4CF3_OCH2CH2CH2CHF2,4.271,82.25,-5.655
emap3_Bn-4CF3_CH2CH2CF2CF3,4.619,73.02,-5.476
emap3_Bn-4CF3_CH2CF2CF3,4.749,73.02,-5.567
emap3_Bn-4CF3_CH2CH2CH2CF2CF3,5.01,73.02,-6.021
emap3_Bn-4CF3_CH2CH2CF2CH3,4.077,73.02,-5.253
emap3_Bn-4CF3_OCH2CF2CF3,4.474,82.25,-6.346
emap3_Bn-4CF3_OCH2CF2CH3,3.932,82.25,-5.621
emap3_Bn-4CF3_OCH2CH2CF2CF3,4.517,82.25,-5.977
emap3_Bn-4CF3_CH2CF2CH2F,4.157,73.02,-5.847
emap3_Bn-4CF3_CH2CH2CF2CH2F,4.027,73.02,-5.477
emap3_Bn-4CF3_OCH2CF2CH2F,3.881,82.25,-5.843
emap3_Bn-4CF3_CH2CH2CF2CH2CHF2,4.322,73.02,-6.407
emap3_Bn-4CF3_CH2CH2CF2CH2CF3,4.619,73.02,-5.308
emap3_Bn-4CF3_OCH2CH2CF2CH2F,3.924,82.25,-5.557
emap3_Bn-4CF3_CH2CH2CF2CH2CH2F,4.417,73.02,-6.557
emap3_Bn-4CF3_CH2CF2CH2CH2F,4.547,73.02,-5.773
emap3_Bn-4CF3_CH2CF2CH2CHF2,4.452,73.02,-5.48
emap3_Bn-4CF3_CH2CF2CH2CF3,4.749,73.02,-5.683
emap3_Bn-4CF3_OCH2CF2CH2CH2F,4.271,82.25,-5.516
emap3_Bn-4CF3_OCH2CH2CF2CH2CH2F,4.314,82.25,-5.262
emap3_Bn-4CF3_CH2CH2CF2CH2CH2CHF2,4.712,73.02,-5.618
emap3_Bn-4CF3_CH2CH2CF2CH2CH2CF3,5.01,73.02,-6.297
emap3_Bn-3CF3_Me,3.256,73.02,-5.689
emap3_Bn-3CF3_Et,3.739,73.02,-5.406
