endpoint,endpoint_label,analog,reference,analog_mean,reference_mean,mean_difference_analog_minus_reference,analog_median,reference_median,mann_whitney_U,exact_p_value,hedges_g_analog_minus_reference,cliffs_delta_analog_vs_reference,holm_p_vs_reference,analysis_status
fixed_contacts_mean,Fixed-pocket contacts,A3,AC-5216,12.275333333333334,18.74866666666667,-6.4733333333333345,12.205,19.403,2.0,0.4,-0.9416373421529907,-0.5555555555555556,0.8,exploratory
fixed_contacts_mean,Fixed-pocket contacts,A7,AC-5216,28.007666666666665,18.74866666666667,9.258999999999997,26.6,19.403,9.0,0.1,1.3230990290401174,1.0,0.4,exploratory
fixed_contacts_mean,Fixed-pocket contacts,A8,AC-5216,15.570999999999998,18.74866666666667,-3.1776666666666706,14.602,19.403,1.0,0.2,-1.1625917876613787,-0.7777777777777778,0.6000000000000001,exploratory
fixed_contacts_mean,Fixed-pocket contacts,A15,AC-5216,17.016333333333336,18.74866666666667,-1.732333333333333,16.033,19.403,3.0,0.7,-0.49929036340182464,-0.3333333333333333,0.8,exploratory
com_to_pocket_mean_A,COM-to-pocket distance,A3,AC-5216,8.950116117159526,6.98962626838684,1.9604898487726858,8.068481847763062,7.412183788776398,7.0,0.4,0.9533533892474199,0.5555555555555556,1.0,exploratory
com_to_pocket_mean_A,COM-to-pocket distance,A7,AC-5216,6.18617837436994,6.98962626838684,-0.8034478940168999,5.962780526638031,7.412183788776398,3.0,0.7,-0.6116766338913271,-0.3333333333333333,1.0,exploratory
com_to_pocket_mean_A,COM-to-pocket distance,A8,AC-5216,7.664935710509618,6.98962626838684,0.6753094421227779,7.538317336082459,7.412183788776398,8.0,0.2,0.8895733176124558,0.7777777777777778,0.8,exploratory
com_to_pocket_mean_A,COM-to-pocket distance,A15,AC-5216,8.080247680981955,6.98962626838684,1.090621412595115,8.130674294948578,7.412183788776398,7.0,0.4,0.9294094081398332,0.5555555555555556,1.0,exploratory
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A3,AC-5216,51.56666666666666,87.36666666666667,-35.80000000000001,66.10000000000001,93.1,0.0,0.1,-1.2067820422743205,-1.0,0.4,exploratory
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A7,AC-5216,98.16666666666667,87.36666666666667,10.799999999999997,99.8,93.1,8.0,0.2,0.9717787177749853,0.7777777777777778,0.6000000000000001,exploratory
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A8,AC-5216,82.93333333333334,87.36666666666667,-4.433333333333337,82.3,93.1,3.0,0.7,-0.3457435025646234,-0.3333333333333333,1.0,exploratory
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A15,AC-5216,84.89999999999999,87.36666666666667,-2.4666666666666828,85.7,93.1,3.0,0.7,-0.19615342307022532,-0.3333333333333333,1.0,exploratory
