candidate,n_replicates,fixed_contacts_mean,fixed_contacts_sd,fixed_contacts_final2ns_mean,fixed_contacts_final2ns_sd,contacts_ge10_pct_mean,contacts_ge10_pct_sd,com_to_pocket_mean_A,com_to_pocket_sd_A,com_to_pocket_final2ns_mean_A,com_to_pocket_final2ns_sd_A,ligand_rmsd_mean_A,ligand_rmsd_sd_A,ligand_rmsd_final2ns_mean_A,ligand_rmsd_final2ns_sd_A,all_min_distance_mean_A,all_min_distance_sd_A,protein_rmsd_mean_A,protein_rmsd_sd_A
A15,3,17.016333333333332,3.018612981707547,13.349917081260365,2.4887675355041496,84.89999999999999,7.233256528010052,8.080247680981953,1.0439130776564893,8.932398777893724,1.5540742780255297,6.321116928327626,1.9121803339359746,7.8263107598362796,2.887564875448143,3.259364798248786,0.06894649251572124,2.2692738349612775,0.03487795306482497
A3,3,12.275333333333334,7.361751988034733,15.665008291873962,15.761688969480637,51.56666666666666,31.246973186747752,8.950116117159526,2.177179650648226,9.223055071696317,3.7210744173430395,5.385657686896298,1.7018112215264534,6.645451329304982,2.656432710372506,3.3854400344076994,0.05299664081461871,2.1320927689791946,0.14542729913225538
A7,3,28.007666666666665,7.50911674788276,29.30016583747927,5.197913030925561,98.16666666666667,2.8290163190291677,6.18617837436994,1.2391990868980967,6.003297233265233,1.590055261446303,5.166041705810036,0.8176433325209049,5.26100772636086,0.685205344800234,3.177687385101375,0.032939321869556365,2.273915851393249,0.25505738103828424
A8,3,15.571,1.8071582664503951,17.90547263681592,2.498042598979487,82.93333333333334,7.769384359994898,7.664935710509618,0.25465199574576586,6.6957596574058975,1.4222575257219554,5.934697549632574,2.2328963869929077,6.282193498490088,2.7661377297225864,3.358270297428254,0.04522550504364132,2.2700206452952103,0.23857121401592093
AC-5216,3,18.748666666666665,2.509321488636586,16.613598673300164,4.887751014605394,87.36666666666667,12.251258438761848,6.98962626838684,0.8202471391188572,7.337176749164588,1.4148185543760683,4.110568554629931,1.7362787642799045,5.618365573080195,2.379218567601997,3.3862963222645774,0.013630810946662563,2.429940621061015,0.047038470601665196
