candidate,replicate,source_file,n_frames,protein_rmsd_mean_A,protein_rmsd_final2ns_mean_A,ligand_rmsd_mean_A,ligand_rmsd_final2ns_mean_A,fixed_contacts_mean,fixed_contacts_final2ns_mean,all_contacts_mean,all_contacts_final2ns_mean,fixed_min_distance_mean_A,fixed_min_distance_final2ns_mean_A,all_min_distance_mean_A,all_min_distance_final2ns_mean_A,com_to_pocket_mean_A,com_to_pocket_final2ns_mean_A,frames_fixed_contacts_ge5_pct,frames_fixed_contacts_ge10_pct,frames_all_contacts_ge5_pct,frames_all_contacts_ge10_pct,fixed_contacts_first5ns_mean,fixed_contacts_final5ns_mean,fixed_contacts_delta_final_minus_first,com_first5ns_mean_A,com_final5ns_mean_A,com_delta_final_minus_first_A,ligand_rmsd_first5ns_mean_A,ligand_rmsd_final5ns_mean_A,ligand_rmsd_delta_final_minus_first_A
A3,1,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A3/openmm_setup_fine14_001/opencl_2fs_10ns/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,2.277369416090217,2.5138893219410003,3.88634747795789,5.246304148738,12.205,12.621890547263682,12.206,12.621890547263682,3.42156551588839,3.3079312068511197,3.42156551588839,3.3079312068511197,7.35202374124527,7.578078065938618,95.1,66.10000000000001,95.1,66.10000000000001,12.929859719438877,11.48303393213573,-1.4468257873031476,7.288323758838172,7.415469432305433,0.12714567346726113,3.4789884215942073,4.292080350463833,0.8130919288696261
A3,2,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A3/openmm_setup_fine14_001/opencl_2fs_10ns_rep2/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,1.9865152845700167,2.267575176545643,5.0352159289287615,4.981039911160835,19.672,32.72636815920398,19.772,32.950248756218905,3.324600476014858,3.2121538144885395,3.324600476014858,3.2121538144885395,8.068481847763062,6.607966985275496,94.1,72.89999999999999,94.1,72.89999999999999,9.557114228456914,29.746506986027946,20.18939275757103,9.245065861092302,6.8965947766028,-2.3484710844895016,5.230293524315855,4.840917086417464,-0.3893764378983908
A3,3,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A3/openmm_setup_fine14_001/opencl_2fs_10ns_rep3/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,2.132393606277349,2.4765607901477296,7.235409653802242,9.70900992801611,4.949,1.6467661691542288,10.271,11.164179104477611,3.674981725174596,3.9415169997914883,3.410154111319851,3.3290330220758655,11.429842762470246,13.48312016387484,43.7,15.7,84.6,55.7,7.05811623246493,2.848303393213573,-4.209812839251358,9.72985109680879,13.123048034256804,3.393196937448014,5.130429194706942,9.33198699729237,4.2015578025854285
A3,4,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A3/openmm_setup_fine14_001/opencl_2fs_10ns_rep4/analysis_v2/trajectory_metrics_pbc_corrected.csv,1000,2.470390484012788,2.7094818273722034,6.643986054513503,8.60291122334405,15.095,12.283582089552239,20.524,20.129353233830845,3.308835986161115,3.3537025618440524,3.2936851107308156,3.3230065455273357,7.748572830200195,9.039101719263181,98.1,83.39999999999999,99.7,94.89999999999999,17.196392785571142,13.001996007984031,-4.1943967775871105,6.545172727657463,8.947168940317606,2.4019962126601433,5.4830885055716765,7.800249281902667,2.317160776330991
A3,5,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A3/openmm_setup_fine14_001/opencl_2fs_10ns_rep5/analysis_v2/trajectory_metrics_pbc_corrected.csv,1000,2.0213382993144835,1.9741660162927663,5.210659484312378,6.67975562100959,5.954,0.2935323383084577,6.017,0.2935323383084577,4.068744721556707,4.693861272685164,4.068698894813317,4.693861272685164,9.723690787792206,11.4413775211543,47.099999999999994,32.300000000000004,47.099999999999994,32.9,11.448897795591183,0.4810379241516966,-10.967859871439487,8.393967547254238,11.048105751920842,2.6541382046666033,4.311208362747841,6.1065199826371375,1.7953116198892962
A7,1,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A7/openmm_setup_fine14_001/opencl_2fs_10ns/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,2.455259872963881,2.804932835785638,4.325137945488276,4.667172853449377,26.6,29.696517412935325,28.812,33.96517412935324,3.1945944932029913,3.2297758496176585,3.189964829301941,3.2268929859307303,5.073873855352402,4.36164602118345,100.0,99.8,100.0,99.8,24.903807615230463,28.289421157684632,3.38561354245417,5.561151160505826,4.588541768982025,-0.9726093915238012,3.9769899933737984,4.671896085418664,0.694906092044866
A7,2,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A7/openmm_setup_fine14_001/opencl_2fs_10ns_rep2/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,1.982271138475153,2.021220478892885,5.958247898149583,6.0107236525760745,36.121,34.288557213930346,38.273,36.19402985074627,3.152312875238157,3.191038439195022,3.1403725952863732,3.1873428583169985,5.962780526638031,6.112075293242042,100.0,99.8,100.0,99.8,38.46492985971944,33.786427145708586,-4.678502714010854,6.010701953528639,5.915050402848783,-0.09565155067985653,6.033446997421302,5.883348994882942,-0.1500980025383596
A7,3,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A7/openmm_setup_fine14_001/opencl_2fs_10ns_rep3/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,2.3842165427407127,2.6450348902711784,5.214739273792249,5.1051266730571285,21.302,23.915422885572138,21.685,24.049751243781095,3.203646625755212,3.1387252167653106,3.2027247307158104,3.1387252167653106,7.521880741119385,7.536170385370207,99.0,94.89999999999999,99.6,95.39999999999999,19.93386773547094,22.664670658682635,2.7308029232116944,7.4050857213312735,7.6382095133235115,0.23312379199223798,5.288467722560469,5.1413051501688125,-0.14716257239165653
A7,4,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A7/openmm_setup_fine14_001/opencl_2fs_10ns_rep4/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,2.324026375773157,2.6326389060678483,6.553436925432296,8.179694500175836,24.877,22.621890547263682,27.264,24.45771144278607,3.303848813678634,3.2697687208365878,3.2975588846198445,3.259630964992342,7.3118469786643985,8.1222084600534,99.6,97.3,99.7,98.5,26.024048096192384,23.734530938123754,-2.28951715806863,7.203876072036957,7.419386863708496,0.21551079167153908,5.675963160233301,7.42740780134906,1.751444641115759
A7,5,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A7/openmm_setup_fine14_001/opencl_2fs_10ns_rep5/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,2.6203561738285788,2.982412370335439,6.482052858322192,6.540718539649091,32.373,34.78606965174129,33.424,35.53731343283582,3.2697095216140024,3.246247671779745,3.2677119686153984,3.2454479353978147,7.364403466701508,7.485553962081226,99.7,98.0,99.9,98.7,35.4689378757515,29.289421157684632,-6.179516718066868,6.812487336581121,7.914116338817421,1.1016290022363,6.240492978013433,6.722648427731515,0.482155449718082
