endpoint,endpoint_label,analog,reference,analog_mean,reference_mean,mean_difference_analog_minus_reference,analog_median,reference_median,mann_whitney_U,exact_p_value,hedges_g_analog_minus_reference,cliffs_delta_analog_vs_reference,holm_p_vs_reference,analysis_status
protein_rmsd_mean_A,Protein backbone RMSD,A15,AC-5216,2.269273834961278,2.429940621061015,-0.16066678609973684,2.2728985605511793,2.4108366751431984,0.0,0.1,-3.1041428002166276,-1.0,0.4,exploratory
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A3,AC-5216,15.665008291873962,16.613598673300164,-0.948590381426202,12.621890547263682,17.71641791044776,4.0,1.0,-0.06503440562716638,-0.1111111111111111,1.0,exploratory
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A7,AC-5216,29.300165837479266,16.613598673300164,12.686567164179102,29.696517412935325,17.71641791044776,9.0,0.1,2.0116588949159,1.0,0.4,exploratory
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A8,AC-5216,17.90547263681592,16.613598673300164,1.291873963515755,18.199004975124375,17.71641791044776,5.0,1.0,0.26627059529849095,0.1111111111111111,1.0,exploratory
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A15,AC-5216,13.349917081260365,16.613598673300164,-3.2636815920397986,14.139303482587064,17.71641791044776,2.0,0.4,-0.6732005217495347,-0.5555555555555556,1.0,exploratory
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A3,AC-5216,9.223055071696317,7.337176749164588,1.8858783225317293,7.578078065938618,8.107482060864196,5.0,1.0,0.5359570212224407,0.1111111111111111,1.0,exploratory
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A7,AC-5216,6.003297233265234,7.337176749164588,-1.333879515899354,6.112075293242042,8.107482060864196,2.0,0.4,-0.7090438541084194,-0.5555555555555556,1.0,exploratory
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A8,AC-5216,6.6957596574058975,7.337176749164588,-0.6414170917586901,6.944448250443188,8.107482060864196,2.0,0.4,-0.3617329214916315,-0.5555555555555556,1.0,exploratory
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A15,AC-5216,8.932398777893724,7.337176749164588,1.595222028729136,8.536951655772194,8.107482060864196,7.0,0.4,0.8587552095934696,0.5555555555555556,1.0,exploratory
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A3,AC-5216,4.8442513770055085,-5.684350737402948,10.528602114408457,-1.4468257873031476,-5.179632718530872,7.0,0.4,0.8435540516175918,0.5555555555555556,0.8,exploratory
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A7,AC-5216,0.4793045838850034,-5.684350737402948,6.163655321287951,2.7308029232116944,-5.179632718530872,8.0,0.2,1.089775972056283,0.7777777777777778,0.6000000000000001,exploratory
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A8,AC-5216,2.9837279349117387,-5.684350737402948,8.668078672314687,2.3093852375409476,-5.179632718530872,9.0,0.1,1.883595182857021,1.0,0.4,exploratory
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A15,AC-5216,-4.738084285670477,-5.684350737402948,0.9462664517324706,-3.646462585850344,-5.179632718530872,5.0,1.0,0.12849682865130804,0.1111111111111111,1.0,exploratory
com_delta_final_minus_first_A,COM-to-pocket drift,A3,AC-5216,0.3906238421419245,1.0223718077870971,-0.6317479656451725,0.1271456734672611,1.3885757000757346,4.0,1.0,-0.23740149697620896,-0.1111111111111111,1.0,exploratory
com_delta_final_minus_first_A,COM-to-pocket drift,A7,AC-5216,-0.2783790500704733,1.0223718077870971,-1.3007508578575704,-0.0956515506798565,1.3885757000757346,1.0,0.2,-1.366986482397735,-0.7777777777777778,0.8,exploratory
com_delta_final_minus_first_A,COM-to-pocket drift,A8,AC-5216,-1.0343803506049876,1.0223718077870971,-2.0567521583920847,-1.277585698260121,1.3885757000757346,1.0,0.2,-1.3608510008162862,-0.7777777777777778,0.8,exploratory
com_delta_final_minus_first_A,COM-to-pocket drift,A15,AC-5216,0.8750296627404666,1.0223718077870971,-0.14734214504663057,1.1344246845664898,1.3885757000757346,3.0,0.7,-0.13888682605166244,-0.3333333333333333,1.0,exploratory
ligand_rmsd_delta_final_minus_first_A,Ligand RMSD drift,A3,AC-5216,1.5417577645188878,2.1057229353979596,-0.5639651708790718,0.8130919288696261,2.5032390435976852,4.0,1.0,-0.23158299924262815,-0.1111111111111111,1.0,exploratory
ligand_rmsd_delta_final_minus_first_A,Ligand RMSD drift,A7,AC-5216,0.13254850570494994,2.1057229353979596,-1.9731744296930096,-0.1471625723916565,2.5032390435976852,1.0,0.2,-1.518654985229805,-0.7777777777777778,0.8,exploratory
ligand_rmsd_delta_final_minus_first_A,Ligand RMSD drift,A8,AC-5216,0.35080329367639207,2.1057229353979596,-1.7549196417215676,0.0524667352301131,2.5032390435976852,1.0,0.2,-1.2354896889976055,-0.7777777777777778,0.8,exploratory
ligand_rmsd_delta_final_minus_first_A,Ligand RMSD drift,A15,AC-5216,2.2526615476630094,2.1057229353979596,0.14693861226504978,2.9135604347403454,2.5032390435976852,5.0,1.0,0.07603575138109998,0.1111111111111111,1.0,exploratory
